PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
185.5,68.25,26.8,974.95,1.27,92.03,72.42,71.53,69.0,20.15,9.18,5.17,14.33,1,0,0,0
206.25,78.5,26.85,974.55,1.17,92.27,78.03,93.5,88.15,22.35,10.53,2.75,49.3,1,0,0,0
231.25,82.75,26.92,974.38,1.12,91.85,77.58,52.1,55.9,25.2,12.9,1.1,20.8,1,0,0,0
162.75,63.5,26.95,973.95,0.88,91.08,103.45,67.4,67.67,23.9,13.88,0.93,61.0,1,0,0,0
153.0,57.5,26.82,973.93,1.05,92.85,108.55,47.2,53.18,27.65,13.53,0.55,31.62,1,0,0,0
80.5,37.0,25.68,974.65,1.27,95.0,78.15,7.38,14.28,15.48,11.12,0.2,18.55,1,0,0,0
25.0,16.0,24.77,975.78,2.18,95.88,125.3,3.97,9.55,11.88,7.95,0.15,19.42,1,0,0,0
25.0,16.0,24.67,976.2,3.97,95.88,48.7,4.28,10.83,13.77,5.2,0.88,15.15,1,0,0,0
25.0,16.0,24.8,975.98,9.55,95.9,106.1,10.65,25.48,31.57,8.62,1.1,14.17,1,0,0,0
25.0,16.0,25.1,975.58,59.98,96.1,42.58,16.12,35.3,41.7,9.9,1.18,11.93,1,0,0,0
17.0,12.0,25.9,975.27,197.62,93.62,49.8,12.07,22.98,24.67,9.7,0.82,11.2,1,0,0,0
28.0,16.0,28.62,974.83,477.9,76.72,178.78,14.97,28.68,30.95,13.88,0.93,15.1,1,0,0,0
61.75,28.5,30.15,974.3,459.32,65.5,189.35,8.57,21.65,27.52,16.0,0.87,18.23,1,0,0,0
64.0,31.0,29.17,973.8,307.1,69.6,183.28,6.32,17.55,23.3,15.83,1.43,18.43,1,0,0,0
66.5,35.75,29.68,973.12,332.5,65.67,117.42,5.42,13.57,17.22,9.3,1.58,24.6,1,0,0,0
73.75,41.0,29.33,972.47,270.52,67.6,243.1,6.03,14.9,18.75,4.07,1.95,27.15,1,0,0,0
72.0,40.25,29.23,972.17,221.7,67.47,110.1,5.53,15.45,20.6,3.92,2.02,18.32,1,0,0,0
62.0,33.0,29.35,972.0,129.53,66.62,91.53,6.0,16.88,22.57,1.68,1.98,14.35,1,0,0,0
54.5,22.25,27.75,972.55,32.4,78.62,42.15,6.88,23.6,33.8,3.43,2.03,15.93,1,0,0,0
94.0,33.5,26.8,973.27,2.17,87.95,48.5,6.15,22.1,32.1,7.37,1.8,13.93,1,0,0,0
89.0,28.75,26.62,973.73,1.15,89.05,65.7,10.9,29.4,38.62,9.73,2.12,13.0,1,0,0,0
79.25,28.5,26.35,974.2,1.05,90.75,60.42,16.17,33.1,37.42,11.77,2.35,11.57,1,0,0,0
73.25,33.75,26.17,974.3,1.0,91.07,61.88,33.85,44.98,32.65,11.3,3.3,18.87,1,0,0,0
95.0,48.0,26.05,974.35,1.02,91.47,79.92,61.4,67.9,33.52,9.05,4.6,13.93,1,0,0,0
133.25,65.0,25.88,973.85,0.88,94.48,112.2,94.22,89.38,23.6,9.2,5.2,39.25,1,0,0,0
187.0,89.25,25.75,973.25,1.05,96.28,70.15,94.45,91.25,26.78,10.03,3.17,190.8,1,0,0,0
162.0,87.5,25.88,973.05,0.8,95.9,72.55,75.8,78.8,32.0,12.9,2.0,186.63,1,0,0,0
151.75,82.0,26.25,973.1,1.1,93.53,36.35,85.22,82.97,25.35,13.1,2.15,141.5,1,0,0,0
153.75,88.0,26.4,973.35,0.72,91.12,97.08,96.0,92.0,25.72,13.78,1.97,71.72,1,0,0,0
145.25,89.0,26.25,973.65,1.3,92.47,122.35,64.7,64.42,21.98,15.35,1.38,37.25,1,0,0,0
151.0,92.0,26.35,974.35,14.38,94.05,71.03,46.0,49.85,23.18,9.35,1.17,32.9,1,0,0,0
144.5,88.0,26.77,974.88,73.03,92.75,98.42,24.32,31.85,22.6,5.77,1.18,35.3,1,0,0,0
91.75,76.5,27.08,975.55,150.72,87.7,139.57,17.07,22.55,16.23,9.77,0.9,20.9,1,0,0,0
43.25,38.5,27.7,975.95,134.43,80.08,122.1,9.43,20.68,24.38,8.28,0.62,11.65,1,0,0,0
41.0,28.75,28.85,976.03,233.25,71.15,127.93,14.85,36.17,45.2,8.6,0.6,20.9,1,0,0,0
61.75,30.75,29.15,976.15,349.27,68.15,22.53,9.95,20.68,23.57,14.0,0.2,23.65,1,0,0,0
62.75,27.5,30.35,975.47,597.45,60.9,17.15,4.97,12.2,15.25,15.27,0.55,15.33,1,0,0,0
40.5,20.75,28.3,974.9,172.12,76.48,47.42,5.6,13.03,15.88,14.33,1.68,17.57,1,0,0,0
38.25,24.75,27.5,974.23,139.9,83.55,9.95,6.3,14.3,17.25,11.6,1.65,35.0,1,0,0,0
33.67,24.67,26.55,971.55,94.23,88.53,92.1,7.37,14.57,16.07,13.2,1.2,24.85,1,0,0,0
33.25,14.0,27.65,969.48,162.2,84.3,39.65,17.75,25.95,21.6,17.48,1.78,178.4,1,0,0,0
44.5,23.0,27.57,969.6,66.38,82.38,28.05,17.75,25.95,21.6,20.57,1.53,95.5,1,0,0,0
37.0,22.0,26.82,969.9,28.12,83.83,36.92,10.1,18.17,18.67,22.18,1.47,75.67,1,0,0,0
32.75,14.0,26.6,970.38,1.83,87.9,27.02,12.7,21.12,20.25,24.37,0.93,42.12,1,0,0,0
48.0,11.0,26.62,971.15,1.27,88.82,34.1,21.18,27.32,18.98,23.48,1.05,26.42,1,0,0,0
55.0,23.0,26.77,971.83,1.33,87.33,35.78,24.38,31.48,21.72,23.6,0.97,6.67,1,0,0,0
68.5,28.0,26.6,971.77,1.0,89.38,52.7,25.65,33.58,23.77,21.92,1.25,6.2,1,0,0,0
77.0,39.0,26.52,971.62,1.3,90.6,38.5,29.93,36.73,23.2,18.67,1.42,7.8,1,0,0,0
88.75,46.0,26.5,971.52,1.12,91.32,28.43,33.25,39.95,24.2,17.65,1.43,2.15,1,0,0,0
85.75,56.0,26.48,971.5,0.97,92.05,107.03,38.18,43.9,24.03,17.43,0.25,2.15,1,0,0,0
74.5,41.0,26.48,971.1,1.32,90.65,37.0,31.4,39.3,25.7,23.1,0.25,29.95,1,0,0,0
60.0,31.0,26.4,971.12,1.32,90.08,28.98,30.12,38.5,26.18,25.15,0.25,12.12,1,0,0,0
57.0,29.0,26.28,971.35,1.3,90.32,27.62,28.7,37.6,26.68,27.12,0.25,4.45,1,0,0,0
56.0,25.0,26.2,971.92,3.33,91.0,26.3,29.0,37.55,26.08,27.53,0.25,6.62,1,0,0,0
55.0,25.0,26.38,972.4,40.25,90.08,26.0,30.52,38.42,25.38,25.85,0.25,5.23,1,0,0,0
60.25,34.0,27.48,972.4,181.03,82.55,21.4,30.8,37.95,24.2,23.67,0.4,8.07,1,0,0,0
57.25,31.0,28.0,972.58,297.33,77.15,39.53,25.5,33.92,24.62,20.9,0.45,4.6,1,0,0,0
57.0,40.0,28.62,972.42,397.05,71.08,36.78,20.12,29.15,23.97,20.25,0.43,12.23,1,0,0,0
64.0,33.0,28.98,972.85,332.77,68.05,30.93,17.27,26.5,23.25,19.15,0.3,39.88,1,0,0,0
65.0,33.0,30.0,972.75,520.5,61.8,33.65,14.35,23.27,21.7,19.7,0.0,28.45,1,0,0,0
58.75,23.0,30.27,972.17,568.65,59.35,34.48,10.5,19.9,21.32,19.98,0.0,21.82,1,0,0,0
54.0,16.0,30.27,971.7,602.28,58.75,33.05,9.38,17.92,19.3,20.1,0.35,29.15,1,0,0,0
42.0,13.0,29.95,971.1,397.6,60.1,40.35,8.98,17.62,19.43,19.17,0.43,32.5,1,0,0,0
42.75,18.0,30.3,970.2,491.88,58.12,37.4,7.62,16.88,20.0,19.1,0.75,28.95,1,0,0,0
44.25,17.0,30.1,969.97,315.58,58.75,34.12,8.15,17.02,19.5,17.82,0.7,33.33,1,0,0,0
43.25,12.0,29.45,969.9,116.33,62.05,42.58,8.8,18.18,20.73,19.85,0.8,36.38,1,0,0,0
53.25,14.0,28.65,970.25,15.47,66.2,41.17,10.1,20.45,22.97,20.25,0.7,33.45,1,0,0,0
