PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
114.5,46.75,28.52,976.25,5.6,81.3,341.4,16.77,27.67,10.93,4.28,1.4,19.65,1,0,0,0
132.75,64.25,28.32,975.88,5.6,83.1,225.72,15.0,24.73,9.7,3.93,1.3,51.65,1,0,0,0
115.5,60.75,28.32,975.65,5.6,83.35,252.62,24.1,32.8,8.6,3.93,1.3,12.82,1,0,0,0
131.25,78.25,28.33,975.4,5.57,83.8,262.18,19.0,27.92,8.9,4.38,1.37,8.4,1,0,0,0
130.0,84.25,28.25,975.38,5.6,83.92,233.28,9.72,17.52,7.83,4.88,1.23,7.6,1,0,0,0
87.25,62.0,27.4,975.53,6.12,84.85,273.45,3.65,8.1,4.42,4.38,1.03,2.47,1,0,0,0
31.0,29.0,25.7,976.67,7.1,84.03,174.55,1.9,4.25,2.32,4.88,0.88,2.1,1,0,0,0
31.0,29.0,25.18,977.45,8.3,85.08,149.47,1.47,4.15,2.67,4.42,0.9,7.0,1,0,0,0
31.0,29.0,25.27,977.38,15.32,85.12,109.75,2.35,6.83,4.42,4.27,0.9,11.2,1,0,0,0
18.0,11.0,25.62,976.82,73.0,84.88,114.6,2.9,7.0,4.12,3.23,0.83,13.2,1,0,0,0
18.0,11.0,27.33,976.7,200.8,81.55,175.57,4.4,9.38,4.97,2.8,0.88,11.73,1,0,0,0
18.0,11.0,30.17,976.43,426.9,71.72,279.68,5.28,11.15,5.88,2.6,0.82,8.95,1,0,0,0
22.0,17.0,30.28,975.83,289.02,68.38,330.35,2.73,5.72,3.0,2.72,0.7,6.75,1,0,0,0
22.5,17.75,30.32,975.3,205.1,68.38,327.9,1.98,4.62,2.68,2.52,0.8,5.23,1,0,0,0
28.5,20.0,29.67,974.65,199.25,71.12,179.85,1.55,4.75,3.15,3.77,0.8,9.93,1,0,0,0
46.0,20.0,30.95,974.02,244.83,67.7,243.93,1.82,5.08,3.25,3.17,0.65,16.73,1,0,0,0
60.75,23.75,32.23,973.55,261.32,63.22,219.1,1.93,7.22,5.3,3.25,0.73,20.02,1,0,0,0
67.25,34.75,32.12,973.42,140.75,63.8,230.1,1.72,7.2,5.5,2.75,0.7,29.2,1,0,0,0
52.0,29.0,31.15,974.05,74.55,64.75,311.43,1.07,4.38,3.32,1.95,0.6,16.05,1,0,0,0
28.0,17.25,29.42,974.67,7.47,74.32,317.7,1.55,7.72,6.15,1.77,0.75,11.62,1,0,0,0
50.0,29.25,28.83,975.1,5.55,78.12,161.07,1.62,8.35,6.72,1.87,0.87,9.5,1,0,0,0
63.5,35.75,28.95,975.58,5.55,79.67,140.08,2.97,12.22,9.27,2.92,1.38,6.25,1,0,0,0
72.25,38.0,28.65,975.75,5.53,80.28,135.97,3.83,13.72,9.92,3.8,1.48,13.03,1,0,0,0
85.0,47.0,27.8,975.8,5.53,82.95,117.0,6.58,17.68,11.1,4.12,1.68,15.45,1,0,0,0
81.75,45.25,27.62,975.47,5.53,84.02,193.35,5.8,16.57,10.77,4.3,1.55,30.07,1,0,0,0
72.25,41.0,27.62,974.95,5.53,84.65,201.35,6.55,17.23,10.68,4.03,1.52,73.4,1,0,0,0
80.0,47.0,27.67,974.67,5.53,84.3,148.8,27.5,40.1,12.7,4.03,1.52,27.88,1,0,0,0
98.25,57.75,27.77,974.7,5.55,84.42,165.35,23.73,32.55,8.85,4.17,2.0,23.42,1,0,0,0
89.5,61.25,27.68,975.05,5.55,82.25,244.0,14.45,25.48,11.02,4.02,1.55,11.72,1,0,0,0
