PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
114.75,32.5,31.42,972.3,5.2,85.62,173.83,17.27,33.65,36.73,4.97,1.27,15.98,1,0,0,0
75.75,22.25,31.25,971.88,5.22,86.32,304.48,14.18,30.82,36.2,4.62,1.27,35.0,1,0,0,0
71.0,23.5,31.22,971.8,5.2,86.95,231.85,14.18,30.82,36.2,4.62,1.27,7.17,1,0,0,0
80.25,26.5,31.35,971.45,5.22,86.9,280.6,29.92,44.12,36.83,4.85,1.42,7.15,1,0,0,0
88.25,30.25,31.3,971.27,5.2,85.35,277.77,32.17,48.77,42.4,4.95,1.2,7.45,1,0,0,0
74.0,27.0,31.12,971.7,5.22,83.1,249.2,20.82,38.83,40.97,5.2,0.83,23.75,1,0,0,0
47.0,24.0,29.12,972.9,5.75,87.2,153.43,10.35,20.25,22.3,5.9,0.4,22.15,1,0,0,0
5.0,1.0,29.15,973.22,7.05,88.73,178.38,9.45,21.95,26.68,5.38,0.47,24.65,1,0,0,0
4.5,1.0,29.4,973.1,12.02,88.83,199.0,10.68,26.43,33.33,5.53,0.58,14.7,1,0,0,0
5.0,2.0,29.8,972.77,37.85,88.8,97.17,15.75,34.65,41.0,4.15,0.77,8.68,1,0,0,0
12.25,2.75,30.25,972.45,111.97,88.38,252.0,18.45,37.15,41.55,4.88,0.93,11.6,1,0,0,0
19.5,6.0,31.15,972.42,217.72,85.92,270.65,21.88,42.45,46.27,4.85,1.1,15.52,1,0,0,0
28.5,9.5,33.22,971.83,285.95,75.47,274.52,19.28,39.65,44.62,4.53,1.08,20.9,1,0,0,0
26.5,10.0,34.3,971.18,289.93,69.53,268.73,15.17,36.52,45.25,5.22,1.05,34.22,1,0,0,0
31.25,6.75,34.88,970.47,328.23,63.85,272.85,12.32,29.6,36.88,5.03,0.8,31.4,1,0,0,0
21.75,6.0,34.88,969.85,158.6,62.42,219.65,9.03,23.47,30.43,4.97,0.6,41.23,1,0,0,0
19.5,5.75,34.55,969.6,115.27,64.22,224.22,9.25,25.2,33.38,4.47,0.67,47.73,1,0,0,0
27.0,5.75,34.15,969.33,69.45,68.77,249.62,8.75,28.1,39.42,4.17,0.9,51.8,1,0,0,0
48.0,13.75,32.95,969.8,22.0,76.28,256.05,11.72,45.22,66.65,4.03,1.65,45.8,1,0,0,0
88.5,31.75,32.1,970.5,5.82,80.4,234.85,17.3,57.68,81.93,4.18,2.0,18.68,1,0,0,0
99.0,34.25,31.48,971.12,5.12,83.35,159.25,27.52,62.88,75.93,4.23,2.28,11.75,1,0,0,0
99.75,41.0,31.25,971.73,5.15,84.62,119.55,28.1,67.05,83.1,6.3,2.47,15.12,1,0,0,0
141.25,62.5,31.4,971.8,5.12,85.02,111.4,13.12,54.42,82.25,7.35,2.62,20.15,1,0,0,0
168.0,68.0,30.97,971.63,5.2,86.32,156.42,16.97,47.88,64.05,8.27,2.25,35.2,1,0,0,0
134.75,51.0,30.85,971.23,5.2,87.6,242.4,15.77,40.0,50.98,6.67,2.1,38.63,1,0,0,0
125.0,45.0,30.95,970.85,5.15,87.88,260.75,16.3,48.98,67.25,5.85,2.27,38.63,1,0,0,0
121.75,47.75,30.98,970.5,5.12,88.05,174.08,16.3,48.98,67.25,5.85,2.27,41.15,1,0,0,0
110.25,53.25,31.13,970.5,5.1,88.05,141.0,20.88,44.1,50.73,5.92,2.4,52.42,1,0,0,0
108.5,47.0,31.28,970.73,5.15,87.55,134.72,32.98,56.7,55.98,5.67,2.1,46.5,1,0,0,0
115.5,51.25,31.13,971.17,5.45,87.0,214.52,29.77,50.42,49.1,6.67,1.75,48.77,1,0,0,0
90.5,39.25,31.15,971.73,18.18,84.8,86.1,13.22,30.15,36.5,5.9,0.77,21.88,1,0,0,0
42.0,17.25,31.38,972.38,62.38,83.57,219.45,14.12,27.45,29.9,5.28,0.65,14.75,1,0,0,0
29.0,12.0,32.05,973.05,67.58,80.62,231.32,17.55,32.25,33.7,5.33,0.9,15.45,1,0,0,0
31.75,11.75,32.52,973.3,170.62,75.52,31.7,12.25,27.07,32.2,4.18,0.62,10.35,1,0,0,0
25.25,11.25,33.52,973.42,260.7,69.78,20.65,9.93,24.03,30.0,3.3,0.62,34.77,1,0,0,0
41.0,13.75,34.33,973.32,291.57,67.58,345.65,8.68,25.95,35.5,3.7,0.87,52.57,1,0,0,0
59.0,20.25,33.25,972.82,286.55,75.8,146.45,7.9,26.05,36.9,3.42,0.78,53.2,1,0,0,0
51.75,22.0,34.58,972.1,309.35,66.33,59.3,7.13,21.2,28.95,4.8,0.38,46.83,1,0,0,0
29.5,14.25,35.42,971.3,461.2,62.0,70.58,7.12,19.2,25.15,4.78,0.3,46.68,1,0,0,0
27.25,8.25,34.65,970.97,220.23,63.08,54.82,6.9,18.48,24.1,4.08,0.3,42.2,1,0,0,0
28.25,7.5,34.22,970.6,84.55,66.03,108.43,7.08,20.78,28.3,4.17,0.45,42.62,1,0,0,0
47.0,13.0,33.8,970.67,75.4,70.45,326.55,12.47,35.08,46.82,3.42,0.95,25.6,1,0,0,0
67.25,15.5,33.7,970.95,38.25,67.97,46.83,7.77,25.63,36.35,2.62,0.57,30.62,1,0,0,0
60.75,18.75,32.83,971.45,5.6,74.55,248.43,26.6,53.25,59.03,3.35,1.52,22.3,1,0,0,0
100.75,31.75,32.25,972.38,5.12,78.72,342.43,24.3,51.98,60.35,3.83,1.68,9.62,1,0,0,0
95.75,29.25,32.05,973.0,5.15,80.57,101.9,21.32,45.97,53.77,4.22,1.4,34.93,1,0,0,0
89.25,31.75,31.83,973.02,5.15,81.7,54.7,26.45,48.92,51.48,6.07,1.27,39.65,1,0,0,0
83.75,27.25,31.4,972.93,5.2,83.9,315.77,32.62,53.07,49.75,7.27,1.3,16.5,1,0,0,0
88.25,24.75,31.13,972.78,5.15,85.52,169.8,25.78,44.9,44.92,6.22,1.05,12.07,1,0,0,0
78.0,24.25,31.2,972.75,5.15,85.97,337.0,21.02,40.65,44.23,4.0,0.9,40.5,1,0,0,0
76.0,24.5,31.42,972.4,5.12,84.5,39.27,21.02,40.65,44.23,4.0,0.9,13.97,1,0,0,0
59.0,24.25,31.58,972.28,5.1,82.17,63.3,10.35,25.62,32.27,2.9,0.47,9.38,1,0,0,0
54.0,25.75,31.45,972.45,5.15,82.73,69.0,9.52,23.5,29.53,2.42,0.4,13.7,1,0,0,0
56.0,19.75,31.02,973.03,6.83,84.17,32.2,9.98,24.92,31.62,3.28,0.4,15.2,1,0,0,0
51.5,21.25,31.38,973.35,55.75,80.98,46.85,9.68,24.73,31.7,4.3,0.33,18.4,1,0,0,0
45.25,18.5,32.4,973.5,150.8,74.72,52.88,9.68,22.25,26.95,3.88,0.3,26.15,1,0,0,0
39.5,15.0,33.33,973.72,308.7,69.93,62.55,9.75,21.0,24.45,3.8,0.3,30.75,1,0,0,0
36.75,8.75,34.05,973.52,307.47,66.67,75.28,8.75,20.12,24.4,3.28,0.3,33.6,1,0,0,0
33.25,8.0,34.55,973.83,325.65,63.7,68.62,7.82,19.43,24.52,3.08,0.3,37.82,1,0,0,0
33.75,9.25,34.5,973.9,329.73,63.98,50.17,7.43,19.32,24.92,1.8,0.3,42.7,1,0,0,0
30.5,12.75,35.47,973.3,630.92,59.0,57.08,7.12,19.07,24.95,1.52,0.5,45.05,1,0,0,0
24.0,13.0,34.33,973.0,163.4,62.1,68.22,6.8,19.08,25.43,2.67,0.5,43.92,1,0,0,0
27.0,14.0,34.88,972.48,370.03,61.25,66.72,7.13,19.07,24.9,3.7,0.47,43.88,1,0,0,0
27.0,7.5,35.02,971.52,216.78,61.17,85.58,7.3,18.62,23.85,2.98,0.47,47.5,1,0,0,0
27.5,5.25,34.78,971.38,131.07,61.75,86.12,7.15,18.35,23.58,3.45,0.45,44.7,1,0,0,0
32.0,4.25,34.33,971.33,79.25,63.78,85.92,7.38,20.07,26.38,2.47,0.5,43.3,1,0,0,0
39.5,9.25,33.53,971.62,23.1,67.15,106.85,7.15,21.4,29.32,2.58,0.55,35.2,1,0,0,0
36.5,13.75,32.85,972.15,5.53,69.85,94.85,6.88,21.38,29.6,2.1,0.62,33.45,1,0,0,0
47.5,17.0,32.55,972.95,5.15,72.05,82.67,6.6,24.27,35.5,2.12,0.85,26.32,1,0,0,0
65.75,21.0,32.48,973.47,5.2,71.65,77.35,7.28,28.32,42.08,2.03,0.8,21.2,1,0,0,0
61.0,22.5,32.12,973.65,5.15,73.7,59.52,7.53,25.97,37.3,2.75,0.7,24.95,1,0,0,0
60.0,18.25,31.62,973.75,5.1,76.9,42.55,8.72,29.77,42.65,4.33,0.62,16.98,1,0,0,0
63.5,20.25,31.55,973.7,5.12,78.3,40.88,9.53,30.15,42.08,5.65,0.55,15.82,1,0,0,0
52.25,20.25,31.85,973.52,5.1,76.65,66.62,8.43,24.22,32.62,5.65,0.5,33.1,1,0,0,0
40.75,8.5,31.5,973.28,5.1,78.28,49.28,8.43,24.22,32.62,5.65,0.5,24.75,1,0,0,0
37.25,7.0,31.25,973.55,5.15,78.55,73.0,6.95,20.12,27.15,4.77,0.47,23.85,1,0,0,0
29.0,8.25,30.98,973.5,5.1,77.95,84.38,7.83,19.52,24.67,5.7,0.4,24.17,1,0,0,0
27.75,12.5,30.5,973.6,6.68,78.9,69.33,7.97,21.05,27.27,5.17,0.4,22.93,1,0,0,0
24.75,12.75,30.6,973.8,56.75,79.5,73.53,9.45,24.9,32.28,5.45,0.4,17.48,1,0,0,0
28.5,8.25,32.38,974.1,208.03,70.25,84.85,9.17,20.75,24.98,5.9,0.4,26.75,1,0,0,0
32.5,6.25,33.15,974.58,356.4,66.42,74.32,8.9,20.05,24.0,5.8,0.4,32.38,1,0,0,0
