PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
167.0,34.0,28.65,973.45,5.28,73.42,237.9,37.58,58.05,20.48,2.23,1.02,3.47,1,0,0,0
157.0,45.5,28.18,973.0,5.27,74.0,267.35,15.95,35.62,19.62,2.0,0.65,4.6,1,0,0,0
122.75,67.0,27.88,972.88,5.25,75.55,258.73,10.5,28.5,18.1,1.9,0.5,3.57,1,0,0,0
54.5,26.0,27.7,972.57,5.8,76.17,260.25,10.7,26.93,16.3,1.73,0.5,3.12,1,0,0,0
52.25,22.75,27.68,972.42,5.9,76.32,257.48,8.45,23.87,15.45,2.63,0.5,3.2,1,0,0,0
71.0,31.75,27.32,973.0,5.38,77.78,190.75,14.5,30.45,16.02,3.12,0.57,3.5,1,0,0,0
82.25,27.25,24.98,974.57,7.15,82.62,67.85,0.9,7.83,8.38,2.85,0.3,7.85,1,0,0,0
7.5,6.5,24.78,974.95,9.8,83.12,91.23,1.3,12.95,12.07,2.67,0.3,8.12,1,0,0,0
6.0,4.33,24.7,974.73,14.57,83.2,22.7,1.15,13.28,12.8,2.25,0.3,7.2,1,0,0,0
6.0,3.0,24.65,974.1,70.03,82.97,239.98,16.52,34.32,17.33,2.03,0.6,5.05,1,0,0,0
18.0,16.0,26.02,973.77,144.93,81.58,296.93,14.98,33.65,18.57,1.93,0.57,6.45,1,0,0,0
20.5,16.0,26.68,973.47,271.23,78.33,278.95,11.58,28.6,17.0,1.77,0.73,7.78,1,0,0,0
38.25,23.0,30.5,972.78,465.38,70.05,292.3,7.5,23.17,15.68,2.27,0.7,14.5,1,0,0,0
84.0,23.5,31.05,972.18,228.73,62.88,291.98,9.78,31.27,21.6,2.08,0.8,20.07,1,0,0,0
113.75,25.0,31.32,971.53,225.15,57.95,339.0,1.85,15.18,15.12,2.12,0.67,29.37,1,0,0,0
72.0,27.5,31.55,971.05,244.62,55.58,262.68,0.5,13.1,13.65,2.2,0.67,33.17,1,0,0,0
90.5,36.0,30.97,970.73,140.75,58.12,345.7,8.8,19.25,15.97,2.3,0.73,25.32,1,0,0,0
115.0,36.75,32.12,970.35,158.97,51.42,294.02,12.05,34.22,22.48,2.17,0.85,19.75,1,0,0,0
125.75,28.0,31.62,970.88,58.25,49.65,294.45,19.8,44.95,25.23,2.27,0.85,13.57,1,0,0,0
