PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
91.0,54.75,32.9,976.25,2.85,85.78,33.5,66.17,71.92,33.72,7.55,1.8,10.07,1,0,0,0
91.0,62.75,32.83,975.83,2.62,88.03,183.18,74.58,75.3,27.25,7.57,1.73,19.2,1,0,0,0
91.0,60.25,32.7,975.7,2.83,89.12,55.1,81.0,81.0,28.0,4.9,1.3,9.45,1,0,0,0
91.0,57.75,32.55,975.32,2.75,89.85,70.12,85.67,87.0,32.2,5.45,1.18,11.6,1,0,0,0
91.0,62.5,32.67,975.15,2.65,88.47,152.65,91.48,91.6,31.98,6.05,1.02,9.85,1,0,0,0
91.0,51.0,32.3,975.62,2.52,85.98,111.75,87.25,86.53,28.95,6.08,0.82,11.27,1,0,0,0
71.0,48.0,30.12,976.75,3.5,93.08,112.3,67.62,70.12,28.18,5.43,0.67,5.98,1,0,0,0
10.25,48.0,30.3,977.3,3.8,93.4,100.5,52.23,61.0,34.6,5.43,0.7,4.62,1,0,0,0
8.75,48.0,30.3,977.3,3.8,93.4,100.5,52.1,72.4,56.2,5.43,0.6,3.65,1,0,0,0
14.25,2.0,30.3,977.3,3.8,93.4,100.5,52.1,72.4,56.2,5.43,0.6,3.88,1,0,0,0
23.5,4.5,30.3,977.3,3.8,93.4,100.5,52.1,72.4,56.2,5.43,0.63,4.17,1,0,0,0
29.0,16.0,30.3,977.3,3.8,93.4,100.5,52.1,72.4,56.2,5.43,0.65,9.53,1,0,0,0
54.25,34.25,34.45,975.5,276.2,74.15,228.8,75.87,79.87,33.9,5.43,0.67,13.0,1,0,0,0
67.0,59.25,34.5,975.25,258.4,73.72,336.45,63.62,71.5,36.85,9.6,0.8,12.28,1,0,0,0
55.0,67.0,34.97,974.62,280.52,72.0,344.2,56.4,66.55,38.62,8.53,0.8,11.97,1,0,0,0
60.75,32.75,34.38,974.0,188.38,74.22,332.25,52.17,65.22,42.65,7.15,0.7,11.25,1,0,0,0
81.25,30.5,34.57,973.55,143.35,72.75,200.45,49.28,60.67,38.58,7.62,0.7,10.0,1,0,0,0
90.25,32.25,34.73,973.35,87.0,72.67,62.8,48.8,61.62,41.0,7.82,0.7,9.62,1,0,0,0
84.0,25.75,33.67,973.85,25.6,78.25,138.68,48.8,61.87,41.55,7.8,0.7,9.15,1,0,0,0
76.5,38.5,32.7,974.58,3.53,84.45,75.95,48.05,62.38,43.6,8.07,0.73,8.5,1,0,0,0
85.0,54.25,32.48,975.05,2.65,86.55,87.22,48.65,62.38,42.75,6.12,0.85,7.25,1,0,0,0
70.0,34.5,32.45,975.52,2.67,87.3,97.2,51.47,65.12,43.53,5.77,1.05,8.78,1,0,0,0
99.0,37.25,32.35,975.67,2.65,87.42,96.55,58.55,70.33,42.45,4.98,1.22,5.28,1,0,0,0
99.0,45.25,32.03,975.72,2.75,88.17,83.75,65.33,76.38,43.45,5.28,1.45,9.73,1,0,0,0
99.0,65.75,31.7,975.3,2.67,90.55,80.25,77.23,85.67,42.7,5.3,1.7,9.5,1,0,0,0
99.0,89.5,31.65,974.65,2.72,92.15,63.5,85.42,90.88,39.92,5.77,1.8,12.3,1,0,0,0
99.0,91.25,31.77,974.5,2.75,92.55,48.5,100.5,101.2,36.3,6.5,1.6,10.38,1,0,0,0
99.0,88.5,31.88,974.48,2.65,92.22,65.97,107.0,109.2,41.25,7.8,1.6,8.75,1,0,0,0
88.0,70.5,31.95,974.85,2.62,91.32,86.62,103.28,107.72,44.33,7.67,1.4,5.9,1,0,0,0
88.0,51.5,31.87,975.15,3.12,91.45,148.22,95.4,101.07,43.88,7.58,1.12,9.3,1,0,0,0
88.0,65.75,31.98,975.78,14.97,91.85,60.25,92.78,99.27,44.4,7.48,0.97,8.05,1,0,0,0
88.0,79.25,32.55,976.2,65.58,88.62,113.25,91.85,93.78,35.42,7.53,0.93,9.77,1,0,0,0
81.0,77.0,33.22,976.97,129.95,82.12,108.67,87.67,90.32,35.45,5.78,1.02,5.45,1,0,0,0
76.75,47.0,33.7,977.43,140.97,77.1,138.22,77.47,79.1,30.05,5.3,0.97,7.85,1,0,0,0
64.0,49.75,34.72,977.52,215.28,73.22,338.58,66.37,73.85,37.1,5.1,0.9,8.62,1,0,0,0
53.0,69.5,35.62,977.53,276.93,67.88,193.85,49.52,57.05,31.3,4.55,0.75,7.1,1,0,0,0
50.75,22.25,36.95,976.97,624.83,63.15,259.18,43.62,55.0,36.5,4.15,0.6,7.95,1,0,0,0
44.0,20.0,35.45,976.35,206.65,71.28,191.82,42.8,53.7,35.35,4.7,0.5,6.4,1,0,0,0
40.75,19.5,33.23,975.67,84.98,85.72,38.5,43.12,55.25,37.85,5.5,0.6,6.68,1,0,0,0
30.5,15.5,31.72,975.25,59.92,90.42,80.55,43.98,57.25,40.2,5.7,0.6,3.4,1,0,0,0
34.5,11.5,32.5,974.9,113.4,91.6,151.6,47.4,72.08,62.85,5.7,0.67,2.4,1,0,0,0
53.5,20.0,32.5,974.9,113.4,91.6,151.6,51.6,79.7,70.9,5.7,0.67,3.52,1,0,0,0
63.25,17.25,32.5,974.9,113.4,91.6,151.6,51.6,79.7,70.9,5.7,0.72,3.42,1,0,0,0
70.0,32.75,32.2,975.95,2.75,90.15,18.65,83.33,94.3,49.5,5.7,0.65,9.78,1,0,0,0
72.75,50.75,32.12,976.42,2.6,90.53,95.2,72.92,84.1,46.3,6.87,1.0,13.48,1,0,0,0
76.5,48.25,32.2,977.08,2.52,90.3,117.85,68.62,79.32,43.92,8.68,1.18,10.7,1,0,0,0
68.25,35.0,32.2,977.2,2.62,90.02,233.07,63.9,76.95,46.73,9.2,1.15,9.68,1,0,0,0
83.0,36.25,31.98,976.88,2.62,91.32,74.9,64.88,76.68,44.7,8.9,1.08,9.05,1,0,0,0
81.25,32.75,32.02,976.92,2.58,91.12,226.88,65.6,76.75,43.73,9.4,0.95,11.53,1,0,0,0
81.75,38.67,32.05,976.95,2.77,91.88,277.07,63.15,73.83,42.0,8.83,0.9,13.0,1,0,0,0
68.5,37.0,31.85,976.42,2.55,92.02,127.08,61.2,68.9,35.8,6.8,0.7,10.88,1,0,0,0
57.25,28.67,31.85,976.43,2.52,90.68,95.28,60.2,70.52,40.35,7.03,0.65,5.33,1,0,0,0
53.0,26.0,31.8,976.65,2.52,90.67,61.45,58.62,69.7,41.17,7.12,0.57,8.03,1,0,0,0
48.5,18.67,31.6,977.28,4.1,92.23,134.95,57.62,70.17,43.57,7.35,0.5,7.63,1,0,0,0
54.25,21.67,31.8,977.78,27.0,91.88,355.73,57.25,70.62,45.07,7.75,0.5,5.2,1,0,0,0
59.0,26.33,33.45,977.8,171.1,82.88,30.2,56.65,66.62,38.4,7.97,0.5,7.4,1,0,0,0
63.75,28.67,34.15,977.93,243.7,75.53,81.22,52.75,61.35,34.43,7.72,0.6,6.25,1,0,0,0
70.0,28.67,35.3,977.77,376.05,69.3,87.5,37.25,45.85,29.08,7.6,0.7,7.75,1,0,0,0
74.5,32.0,35.65,978.25,316.15,67.65,75.93,26.57,38.62,31.82,7.6,0.68,13.55,1,0,0,0
74.0,35.33,36.85,978.08,453.27,62.98,50.62,6.97,21.5,29.62,7.35,0.62,2.5,1,0,0,0
56.25,29.0,37.02,977.5,644.25,61.22,73.4,14.45,25.5,25.88,7.05,0.6,6.67,1,0,0,0
46.25,14.67,37.2,977.0,504.83,59.72,82.03,15.3,26.33,26.03,7.03,0.5,9.05,1,0,0,0
42.75,6.0,36.98,976.38,570.15,60.05,88.38,4.08,17.68,26.95,6.6,0.4,12.38,1,0,0,0
46.25,6.0,37.05,975.5,413.28,59.15,84.1,6.0,18.67,25.9,6.2,0.3,10.3,1,0,0,0
41.0,6.0,36.48,975.33,191.0,61.38,88.92,4.48,14.6,20.55,9.6,0.4,25.75,1,0,0,0
55.0,17.0,35.58,975.25,67.6,65.5,83.78,2.8,16.9,27.48,10.05,0.53,17.47,1,0,0,0
58.25,22.67,33.35,975.55,14.05,79.6,72.25,10.98,28.4,36.62,9.35,0.85,11.8,1,0,0,0
75.25,33.0,33.78,976.0,2.97,75.7,91.75,16.23,31.65,34.65,9.13,1.37,10.77,1,0,0,0
106.0,36.0,33.43,977.05,2.6,77.7,107.08,27.62,39.0,31.0,8.0,1.18,10.6,1,0,0,0
128.0,41.0,33.3,977.47,2.67,78.53,82.88,40.93,50.88,32.95,7.75,1.2,5.9,1,0,0,0
115.25,37.33,33.45,977.77,2.65,76.58,73.33,49.33,57.75,32.98,8.38,1.12,7.43,1,0,0,0
122.0,44.25,33.03,977.93,2.62,79.15,61.9,52.12,61.08,34.92,8.58,0.97,4.83,1,0,0,0
111.0,28.5,32.55,977.98,2.67,84.7,134.95,52.8,62.83,37.25,8.9,0.75,11.7,1,0,0,0
74.5,31.5,32.12,977.7,2.6,86.97,83.28,52.62,60.92,33.85,9.07,0.57,12.9,1,0,0,0
62.25,26.25,32.2,977.52,2.65,85.22,73.47,46.7,55.1,31.9,5.5,0.7,8.68,1,0,0,0
58.0,23.75,31.97,977.62,2.55,87.1,87.08,47.05,58.67,38.15,5.8,0.6,5.27,1,0,0,0
59.0,22.0,31.7,977.67,2.7,90.25,143.32,48.45,61.2,40.85,6.15,0.47,5.28,1,0,0,0
53.75,21.25,31.6,977.7,4.18,90.03,70.35,48.5,60.65,39.67,6.38,0.43,5.1,1,0,0,0
59.25,30.5,31.73,977.95,36.4,85.57,76.9,48.92,59.33,36.55,6.4,0.4,4.75,1,0,0,0
68.75,36.75,33.05,978.25,199.15,74.8,87.62,49.02,54.17,26.7,6.3,0.4,5.3,1,0,0,0
