PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
124.0,48.0,31.05,977.12,12.18,84.4,227.78,23.32,29.07,18.95,6.25,2.75,10.9,1,0,0,0
127.0,42.0,31.0,976.67,12.2,86.05,221.7,25.52,29.82,16.98,7.1,2.9,6.3,1,0,0,0
117.0,42.0,31.0,976.65,12.2,85.45,255.45,24.5,28.9,16.7,8.9,2.3,5.33,1,0,0,0
103.0,41.0,30.98,976.25,12.03,85.05,250.77,19.98,26.35,18.9,6.1,1.78,6.25,1,0,0,0
116.0,40.0,31.1,976.23,12.27,83.05,260.3,7.67,15.75,20.9,4.27,0.95,8.48,1,0,0,0
75.0,35.0,30.47,976.2,12.43,81.72,224.73,0.25,9.33,17.6,4.08,0.5,14.72,1,0,0,0
23.0,16.0,28.7,978.33,13.35,87.53,159.88,0.97,8.57,14.65,2.1,0.38,9.25,1,0,0,0
2.0,16.0,28.67,978.6,14.22,89.0,109.47,0.97,8.95,15.35,2.1,0.3,7.38,1,0,0,0
2.0,16.0,28.92,978.2,19.27,89.55,198.12,1.65,10.77,17.75,1.15,0.47,3.75,1,0,0,0
5.0,3.0,29.2,977.92,49.7,89.38,134.1,3.88,12.82,18.2,0.75,0.57,2.73,1,0,0,0
5.0,3.0,29.62,977.55,130.28,87.92,195.07,4.08,13.25,18.6,2.5,0.62,6.12,1,0,0,0
5.0,3.0,31.47,977.38,268.68,80.08,226.32,3.8,12.72,18.12,4.6,0.72,6.65,1,0,0,0
25.0,24.0,32.92,976.55,326.38,71.9,247.45,3.95,13.6,19.52,5.12,0.68,6.45,1,0,0,0
28.0,17.0,33.88,975.95,361.05,66.88,260.3,1.52,10.55,17.5,4.62,0.65,25.57,1,0,0,0
35.0,23.0,34.17,975.23,307.23,64.95,259.95,0.73,8.57,15.12,3.42,0.7,38.02,1,0,0,0
42.0,34.0,33.92,974.65,312.2,65.03,269.12,0.48,8.05,14.4,3.63,0.65,47.35,1,0,0,0
53.0,38.0,33.85,974.32,309.52,65.8,262.1,0.7,8.97,15.83,3.7,0.67,55.6,1,0,0,0
62.0,44.0,33.15,974.12,112.45,68.47,243.6,0.7,9.2,16.15,6.4,0.67,46.62,1,0,0,0
64.0,39.0,32.55,974.63,51.6,72.1,224.57,0.88,11.18,19.62,6.98,0.83,26.52,1,0,0,0
58.0,31.0,31.27,975.47,13.15,80.75,189.47,2.55,13.9,22.1,4.92,1.18,7.65,1,0,0,0
