PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
141.5,57.0,32.12,976.35,1.57,83.8,230.28,141.05,161.03,19.08,6.5,2.7,58.7,1,0,0,0
117.5,45.0,32.05,976.0,1.77,84.42,187.62,149.7,168.22,18.52,5.7,2.7,31.0,1,0,0,0
111.5,43.25,31.95,975.8,1.5,84.38,224.25,123.7,140.9,18.65,4.5,1.85,18.27,1,0,0,0
103.25,35.5,31.8,975.45,1.5,84.1,222.7,113.7,129.8,16.15,4.78,1.7,6.5,1,0,0,0
89.75,27.75,31.85,975.33,1.42,83.97,237.22,84.78,97.05,12.35,5.1,1.2,3.5,1,0,0,0
67.75,23.0,31.12,975.85,1.73,81.6,183.6,34.95,44.62,9.6,4.62,0.75,2.97,1,0,0,0
18.75,9.75,29.97,977.42,2.5,83.95,143.03,18.22,25.52,7.33,4.37,0.7,3.0,1,0,0,0
9.0,6.0,29.65,977.62,3.57,86.47,76.25,13.53,23.82,10.32,4.67,0.68,2.58,1,0,0,0
9.0,6.0,29.83,977.35,8.43,87.72,34.48,14.47,29.88,15.38,4.62,0.77,2.0,1,0,0,0
9.0,6.0,30.05,977.08,36.2,88.25,44.05,24.1,41.9,17.77,4.62,0.9,2.35,1,0,0,0
19.0,16.0,30.47,976.75,117.2,87.95,181.28,20.6,37.5,16.93,4.38,1.35,7.15,1,0,0,0
20.5,15.5,31.8,976.47,267.0,84.7,219.75,22.0,40.45,18.45,4.12,1.38,5.47,1,0,0,0
23.5,12.5,33.77,975.83,326.1,72.15,221.38,16.05,30.25,14.32,4.5,1.32,3.15,1,0,0,0
26.75,13.75,34.75,975.28,318.0,66.12,260.2,6.15,20.17,14.03,4.23,1.43,9.77,1,0,0,0
46.25,28.0,35.35,974.55,272.2,61.25,258.35,1.93,14.88,12.93,4.03,1.28,12.52,1,0,0,0
48.5,25.75,34.9,973.92,182.88,64.47,278.08,1.23,18.35,17.18,4.22,1.45,17.88,1,0,0,0
87.5,44.5,34.2,973.7,103.9,69.0,155.1,1.32,16.88,15.55,4.28,1.37,14.35,1,0,0,0
78.0,37.5,34.08,973.48,60.0,67.5,249.5,1.15,16.25,15.1,3.5,1.3,16.38,1,0,0,0
68.75,32.25,33.35,974.0,16.8,73.3,145.4,1.27,22.77,21.53,3.3,1.6,11.17,1,0,0,0
92.5,40.75,32.47,974.75,2.48,78.2,58.95,15.77,56.48,40.73,4.67,2.15,4.53,1,0,0,0
106.0,43.0,32.25,975.27,1.88,77.7,89.88,35.45,70.7,35.18,5.62,2.12,3.47,1,0,0,0
88.0,33.0,31.8,975.8,1.73,80.8,145.98,63.33,90.42,27.15,5.85,2.45,2.98,1,0,0,0
99.25,33.5,31.62,975.95,1.92,82.8,117.85,96.23,127.17,30.9,6.22,2.75,3.65,1,0,0,0
140.0,47.5,31.48,975.73,1.53,84.5,278.45,83.38,119.45,36.12,6.32,2.9,5.25,1,0,0,0
158.25,60.25,31.38,975.4,1.7,85.38,196.38,82.72,111.88,29.05,6.33,2.92,22.57,1,0,0,0
149.0,67.25,31.25,974.85,1.8,86.33,181.0,97.97,120.6,24.45,4.95,3.1,34.3,1,0,0,0
139.75,67.0,31.25,974.65,1.8,86.78,152.23,99.9,117.75,18.5,3.6,2.4,27.43,1,0,0,0
118.25,63.75,31.42,974.62,1.7,86.85,214.08,103.93,120.15,16.22,4.15,2.5,26.05,1,0,0,0
112.75,64.5,31.5,974.92,1.7,86.6,172.15,109.08,128.22,19.23,4.88,2.4,108.55,1,0,0,0
126.0,70.0,31.52,975.3,2.1,86.1,153.62,102.42,122.75,20.48,4.75,2.1,173.2,1,0,0,0
140.25,71.75,31.6,975.9,12.65,85.53,128.45,97.3,114.03,16.77,4.83,1.77,164.38,1,0,0,0
122.75,63.5,31.72,976.5,46.38,85.03,91.18,63.67,80.05,16.4,4.25,0.92,61.35,1,0,0,0
68.25,45.0,32.12,977.22,79.2,81.58,118.73,33.45,49.75,16.33,3.6,0.65,9.33,1,0,0,0
42.0,27.0,32.52,977.6,106.53,77.33,179.65,26.8,42.55,15.75,2.88,0.6,4.08,1,0,0,0
46.25,22.5,33.62,977.7,208.48,70.05,29.05,19.1,35.4,16.32,2.45,1.1,26.1,1,0,0,0
63.0,38.5,34.23,977.58,235.12,66.95,14.32,11.47,26.3,14.82,2.4,1.08,23.38,1,0,0,0
76.0,45.0,34.98,977.03,509.6,64.45,25.4,7.03,19.33,12.35,2.7,1.0,16.5,1,0,0,0
71.75,37.75,34.02,976.38,323.5,71.28,16.08,4.1,16.1,12.02,4.45,0.9,11.65,1,0,0,0
