PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
108.0,48.0,24.67,969.8,8.07,95.62,267.6,132.12,132.55,46.72,16.68,1.57,7.6,1,0,0,0
72.0,41.0,24.52,969.1,8.12,96.22,288.75,120.38,121.62,44.12,16.5,1.28,11.6,1,0,0,0
75.0,40.0,24.85,968.9,8.07,96.47,258.5,116.75,118.7,44.2,13.6,1.1,8.5,1,0,0,0
68.0,34.0,25.0,968.25,8.1,96.6,230.65,120.2,121.85,44.77,15.45,1.05,7.12,1,0,0,0
69.0,39.0,24.82,968.05,8.0,96.72,279.35,103.88,110.57,48.73,16.55,0.65,6.9,1,0,0,0
68.0,30.0,23.4,969.03,7.92,96.8,258.05,69.7,82.8,48.88,14.67,0.15,13.65,1,0,0,0
20.0,7.0,22.32,971.73,8.7,96.85,150.45,41.4,61.73,52.73,10.68,0.73,15.57,1,0,0,0
20.0,7.0,21.95,971.92,10.02,97.35,174.35,31.52,53.92,53.02,8.85,0.62,11.18,1,0,0,0
19.0,1.0,22.23,971.42,15.3,97.65,264.88,28.77,52.33,54.2,7.6,0.6,7.58,1,0,0,0
22.0,1.0,22.95,970.88,57.92,97.48,207.52,37.67,60.75,56.53,5.85,0.7,5.35,1,0,0,0
23.0,6.0,24.25,970.4,163.38,96.15,172.77,40.85,63.75,57.18,6.28,0.72,8.95,1,0,0,0
23.0,13.0,26.57,969.98,333.6,92.0,197.1,36.78,59.02,54.62,7.67,0.7,11.65,1,0,0,0
18.0,7.0,29.38,968.88,370.48,84.95,234.22,30.47,53.4,53.7,9.75,1.07,26.17,1,0,0,0
23.0,18.0,29.8,967.88,315.27,78.62,224.55,16.38,47.52,64.25,9.95,1.1,38.48,1,0,0,0
45.0,24.0,29.93,966.72,266.1,78.53,273.35,9.62,44.15,68.3,10.32,1.2,44.52,1,0,0,0
80.0,47.0,29.6,965.68,242.12,78.75,275.8,7.62,42.5,68.15,10.2,1.25,44.1,1,0,0,0
74.0,46.0,29.73,965.17,159.68,77.43,263.45,7.2,41.65,67.32,7.65,1.2,42.83,1,0,0,0
72.0,35.0,29.45,964.8,107.78,78.73,259.57,7.75,40.25,63.7,7.93,1.12,29.33,1,0,0,0
45.0,18.0,27.62,965.72,34.77,85.0,307.3,13.0,40.85,56.9,10.15,1.03,14.98,1,0,0,0
47.0,23.0,25.57,966.95,8.85,90.55,286.55,18.1,44.38,55.72,11.6,1.2,8.0,1,0,0,0
66.0,30.0,25.08,967.88,8.12,93.2,290.8,26.12,50.92,55.7,9.35,1.48,7.45,1,0,0,0
74.0,38.0,24.65,968.75,8.2,94.5,282.92,39.62,59.58,51.3,13.03,1.72,7.03,1,0,0,0
63.0,37.0,24.1,968.98,8.15,95.47,276.2,57.65,71.88,46.8,12.97,1.88,7.0,1,0,0,0
56.0,33.0,23.75,968.92,8.18,96.2,272.65,83.65,91.8,44.4,13.63,2.2,7.1,1,0,0,0
62.0,41.0,23.52,968.2,8.1,96.78,288.67,101.15,107.35,46.72,15.9,1.73,7.38,1,0,0,0
79.0,49.0,23.4,967.23,8.07,97.15,279.62,116.62,117.8,42.72,15.82,2.0,10.2,1,0,0,0
95.0,56.0,23.55,966.88,8.12,97.4,268.15,123.95,121.4,38.25,14.1,2.1,8.33,1,0,0,0
88.0,57.0,23.8,966.85,8.05,97.53,270.15,111.75,115.2,45.23,16.05,1.95,9.2,1,0,0,0
78.0,54.0,24.07,967.4,8.03,97.62,262.52,94.58,101.3,45.53,15.57,1.77,10.12,1,0,0,0
79.0,47.0,24.1,967.95,8.48,97.73,271.38,106.75,110.08,43.35,17.27,1.85,13.58,1,0,0,0
89.0,64.0,24.3,969.02,21.18,97.75,212.5,123.53,122.93,41.83,14.53,1.57,14.85,1,0,0,0
116.0,68.0,25.23,970.0,66.7,97.3,177.05,114.1,117.98,46.92,11.93,1.15,11.95,1,0,0,0
77.0,50.0,26.18,971.25,129.88,95.4,294.07,91.33,104.58,56.62,10.95,0.62,9.12,1,0,0,0
47.0,27.0,26.47,972.02,107.6,93.55,296.58,65.5,83.65,56.88,10.03,0.23,8.12,1,0,0,0
31.0,22.0,28.75,972.08,254.95,86.92,244.05,50.35,70.28,54.92,11.45,0.1,16.02,1,0,0,0
40.0,29.0,29.33,972.0,244.82,81.8,245.08,35.58,62.95,63.75,10.63,0.1,25.17,1,0,0,0
73.0,45.0,31.28,970.88,332.25,73.45,242.95,24.82,53.25,62.1,11.38,0.93,31.1,1,0,0,0
52.0,37.0,28.23,969.83,117.65,80.3,271.15,16.72,46.27,61.4,11.65,0.8,23.9,1,0,0,0
44.0,21.0,28.3,968.53,248.9,86.58,275.25,17.2,45.2,58.67,10.55,0.8,19.27,1,0,0,0
42.0,20.0,26.62,967.95,77.25,89.27,282.05,19.1,45.17,55.7,10.1,0.83,16.23,1,0,0,0
25.0,22.0,26.88,967.4,90.67,91.5,287.7,25.68,52.88,59.95,10.6,1.02,9.43,1,0,0,0
36.0,23.0,27.35,967.45,85.47,89.75,280.62,29.97,58.07,63.23,9.43,1.02,11.73,1,0,0,0
50.0,23.0,25.92,967.95,30.18,91.43,275.35,29.9,57.5,62.3,6.28,1.03,8.32,1,0,0,0
47.0,25.0,24.82,968.88,8.72,93.05,285.3,34.42,60.33,60.73,6.35,1.1,6.55,1,0,0,0
38.0,19.0,24.85,970.28,8.15,94.35,271.8,41.62,65.18,58.7,8.05,1.3,6.6,1,0,0,0
61.0,24.0,24.9,971.4,8.18,94.83,276.88,46.95,69.22,58.2,7.75,1.35,6.15,1,0,0,0
55.0,32.0,25.1,971.52,8.27,94.78,268.35,48.2,71.2,60.08,7.28,1.4,6.92,1,0,0,0
84.0,50.0,24.9,971.12,8.23,95.33,269.4,47.8,69.28,56.95,8.63,1.4,7.05,1,0,0,0
81.0,56.0,24.75,970.97,8.15,95.62,273.92,45.62,67.2,56.48,6.2,1.0,7.32,1,0,0,0
68.0,38.0,24.65,971.0,8.12,96.05,279.95,46.17,65.72,52.7,6.75,0.9,9.8,1,0,0,0
96.0,59.0,24.6,970.17,8.12,96.28,257.2,44.2,61.4,47.7,5.5,0.7,7.8,1,0,0,0
