PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
293.75,40.75,33.27,974.65,5.85,77.3,65.83,97.45,120.8,77.97,17.48,0.6,12.4,1,0,0,0
153.5,29.25,33.2,974.27,5.88,78.85,106.6,77.42,96.4,62.6,21.35,0.53,12.4,1,0,0,0
106.0,24.25,32.95,974.12,5.83,81.1,48.43,83.7,107.6,74.85,19.7,0.45,27.15,1,0,0,0
128.25,27.5,32.7,973.8,5.8,82.55,81.07,54.42,77.6,62.4,20.75,0.5,14.77,1,0,0,0
85.75,33.5,32.45,973.72,5.77,82.45,98.7,34.7,56.6,53.42,17.88,0.43,8.2,1,0,0,0
47.0,24.75,31.53,974.1,5.78,85.33,149.85,10.58,31.52,43.27,17.52,0.38,9.43,1,0,0,0
23.0,12.0,30.38,975.27,6.73,87.33,294.1,7.18,23.93,33.88,18.5,0.3,9.43,1,0,0,0
3.0,12.0,30.35,975.7,9.68,87.47,313.7,7.6,24.25,33.9,22.9,0.4,7.43,1,0,0,0
3.5,1.0,30.5,975.5,21.88,87.22,221.85,6.9,25.0,36.33,23.98,0.45,7.73,1,0,0,0
8.5,2.75,30.97,975.08,82.33,85.85,297.98,13.78,31.2,37.5,26.1,0.57,5.0,1,0,0,0
21.5,11.0,32.33,975.05,196.18,79.55,38.08,22.08,39.58,40.6,24.85,0.6,7.2,1,0,0,0
28.75,20.5,34.53,974.75,663.4,71.17,97.78,15.82,31.62,35.25,22.65,0.47,7.93,1,0,0,0
28.5,21.0,34.23,974.12,351.55,71.15,110.78,12.45,28.2,34.55,18.93,0.4,6.07,1,0,0,0
28.25,15.75,33.85,973.55,207.1,72.5,110.02,7.05,22.85,32.27,17.75,0.4,7.85,1,0,0,0
24.5,11.0,34.17,972.92,222.25,71.78,106.55,7.35,22.98,31.9,16.1,0.4,9.25,1,0,0,0
30.25,17.25,34.92,972.4,195.4,69.97,73.1,6.1,21.15,30.38,14.35,0.4,7.27,1,0,0,0
34.25,19.75,35.7,971.95,285.73,65.75,125.22,10.15,26.75,34.8,18.75,0.4,8.43,1,0,0,0
34.75,22.0,38.18,971.73,192.35,54.23,75.65,6.25,22.62,33.02,18.25,0.4,19.93,1,0,0,0
34.25,12.5,36.28,972.27,64.28,61.83,109.12,9.45,24.85,32.42,17.27,0.4,1.7,1,0,0,0
35.75,12.5,33.77,972.95,6.45,73.25,113.57,7.65,24.43,34.33,19.8,0.47,12.65,1,0,0,0
37.25,16.75,33.33,973.42,5.7,76.88,234.03,6.65,23.25,33.42,20.12,0.47,10.2,1,0,0,0
46.25,23.0,33.25,973.95,5.75,79.05,236.62,8.15,30.27,44.25,21.05,0.88,14.27,1,0,0,0
104.25,49.75,33.2,974.08,5.72,78.6,294.02,94.53,108.1,57.97,22.93,1.7,10.55,1,0,0,0
174.75,65.5,32.83,974.08,5.75,80.28,280.23,120.7,129.95,59.78,22.23,1.65,16.95,1,0,0,0
169.5,61.5,32.48,973.62,5.72,82.12,299.02,172.85,171.18,56.08,22.62,1.63,10.33,1,0,0,0
172.0,63.25,32.6,973.03,5.7,81.22,142.53,171.53,166.07,49.3,23.33,1.68,10.33,1,0,0,0
162.75,64.0,32.68,972.88,5.7,82.4,157.88,257.05,233.0,44.9,22.65,1.6,49.42,1,0,0,0
156.5,62.75,32.65,972.83,5.7,83.32,130.65,211.48,199.9,51.7,24.65,1.57,23.6,1,0,0,0
152.0,58.0,32.6,973.18,5.7,84.2,87.68,97.38,104.17,46.42,23.08,1.17,16.07,1,0,0,0
98.5,54.25,32.35,973.58,7.35,83.62,136.12,21.75,34.6,31.77,19.58,0.65,26.88,1,0,0,0
76.0,50.0,32.45,974.12,24.92,82.35,98.45,20.68,32.15,28.7,21.33,0.48,5.1,1,0,0,0
76.25,41.5,32.7,974.72,74.05,80.12,98.05,8.03,17.65,20.88,20.7,0.33,13.35,1,0,0,0
55.0,35.5,33.6,975.53,147.85,75.9,82.22,13.45,21.73,20.23,19.93,0.4,15.0,1,0,0,0
70.75,42.5,34.15,975.88,209.9,73.8,110.43,13.3,24.02,24.67,20.55,0.6,8.7,1,0,0,0
77.0,49.5,34.6,975.9,301.65,71.4,109.83,7.95,22.77,30.5,20.82,0.58,23.23,1,0,0,0
88.75,47.25,35.15,975.85,228.83,67.73,111.25,4.67,22.37,34.9,20.4,0.53,25.07,1,0,0,0
95.5,45.75,36.65,975.3,518.9,62.98,100.17,4.8,24.7,38.95,20.5,0.53,24.52,1,0,0,0
