PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
152.25,44.25,28.15,975.17,12.62,88.3,111.2,31.2,48.55,43.5,3.85,1.78,45.9,1,0,0,0
166.75,47.0,28.23,974.55,12.25,87.6,169.18,44.75,55.47,35.8,4.55,1.93,69.9,1,0,0,0
218.0,59.75,28.2,974.25,12.3,89.28,210.03,44.1,53.2,32.5,4.55,1.93,58.97,1,0,0,0
204.75,53.5,28.15,973.88,12.3,89.88,225.62,35.52,44.2,28.6,3.08,1.55,54.55,1,0,0,0
156.5,57.75,28.1,973.8,12.58,90.0,238.9,31.32,40.8,28.6,3.72,1.52,53.82,1,0,0,0
157.75,70.75,27.7,973.83,12.85,89.65,254.05,16.43,30.07,31.38,3.88,1.43,43.47,1,0,0,0
125.25,64.0,26.03,975.38,15.45,84.28,129.72,22.15,32.57,27.25,4.15,1.1,13.55,1,0,0,0
26.5,1.0,25.15,976.3,8.35,90.55,88.47,18.32,28.72,25.95,3.2,1.08,18.38,1,0,0,0
13.75,1.0,24.85,976.33,6.88,91.95,90.28,2.9,10.35,15.05,2.3,1.03,19.48,1,0,0,0
9.5,2.5,25.32,975.57,54.1,91.95,128.35,12.43,21.42,21.25,3.12,1.27,22.35,1,0,0,0
17.25,7.5,26.38,975.33,134.65,89.7,162.78,22.07,31.12,24.65,3.98,1.27,28.77,1,0,0,0
24.75,11.5,27.67,974.73,231.18,80.8,264.75,4.75,13.83,18.62,4.55,1.22,41.02,1,0,0,0
40.75,15.75,28.2,974.08,176.43,78.53,274.65,3.9,9.6,12.07,4.32,1.22,34.48,1,0,0,0
29.5,7.25,29.12,973.6,154.43,77.0,289.33,4.2,10.47,13.25,3.9,1.2,33.08,1,0,0,0
43.75,12.25,29.45,972.88,165.03,76.3,316.8,3.77,13.07,18.77,4.67,1.33,35.22,1,0,0,0
