PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
267.0,50.5,28.62,974.8,4.0,76.57,71.78,75.55,75.35,25.5,16.73,1.8,9.43,1,0,0,0
180.5,51.5,28.48,974.38,4.07,77.7,71.85,94.25,92.22,28.95,10.78,1.88,13.8,1,0,0,0
176.75,52.0,28.6,974.3,4.0,78.28,71.9,94.3,86.8,18.7,8.6,1.9,9.33,1,0,0,0
199.25,54.75,28.55,973.9,4.0,78.0,252.93,88.8,84.23,22.33,9.05,1.75,7.2,1,0,0,0
135.5,41.5,28.6,973.75,4.0,76.4,313.23,58.7,60.7,24.12,11.6,1.05,5.82,1,0,0,0
74.5,28.0,28.25,974.15,4.0,73.25,283.8,25.73,33.77,24.05,12.5,0.68,17.12,1,0,0,0
31.75,19.0,25.15,975.55,4.43,79.73,186.4,15.3,19.65,13.5,11.67,0.4,16.45,1,0,0,0
8.0,2.0,24.95,975.95,4.92,81.7,182.22,10.1,17.5,17.38,9.43,0.4,14.0,1,0,0,0
11.25,3.25,25.15,975.7,7.52,81.92,114.45,8.05,16.8,19.27,7.35,0.47,10.0,1,0,0,0
12.5,7.25,25.48,975.42,21.15,81.75,275.65,9.02,19.12,22.12,3.45,0.5,7.8,1,0,0,0
16.25,9.25,25.98,975.1,59.55,80.92,342.4,10.3,20.17,22.12,3.75,0.6,7.93,1,0,0,0
29.75,15.25,27.05,975.03,113.75,77.95,276.3,16.95,28.52,27.7,3.4,0.77,8.6,1,0,0,0
49.25,22.0,28.68,974.4,142.05,71.62,285.07,13.0,25.95,28.8,5.43,0.85,10.38,1,0,0,0
46.25,19.25,30.52,973.8,181.4,65.78,277.82,8.55,20.77,25.95,8.43,0.77,14.07,1,0,0,0
44.5,11.0,32.7,973.0,331.48,57.15,232.95,4.65,12.93,17.15,8.82,0.55,23.4,1,0,0,0
50.25,10.5,33.1,972.38,309.55,58.08,177.2,3.0,12.0,17.95,10.18,0.6,28.33,1,0,0,0
60.25,12.25,34.67,972.17,380.95,54.88,205.78,2.3,11.7,18.45,7.67,0.6,35.38,1,0,0,0
56.0,24.0,32.0,971.9,66.05,61.95,227.5,1.07,10.93,18.93,4.6,0.65,46.12,1,0,0,0
75.0,32.5,30.4,972.42,17.67,69.6,181.93,1.4,15.38,26.73,4.8,0.97,42.78,1,0,0,0
98.75,41.75,29.38,973.12,4.42,73.1,335.23,2.25,32.38,57.67,12.32,1.33,16.08,1,0,0,0
114.25,52.5,28.92,973.67,4.0,74.93,337.83,3.0,31.38,54.35,17.25,1.88,16.77,1,0,0,0
142.75,67.0,28.53,974.23,4.0,76.2,341.1,16.6,41.15,51.7,20.33,2.27,10.78,1,0,0,0
164.25,67.25,28.52,974.32,4.03,77.83,341.28,13.35,42.1,58.62,20.6,2.45,34.4,1,0,0,0
174.5,88.25,28.23,974.1,4.0,78.65,341.18,22.7,45.88,51.2,20.6,2.5,61.4,1,0,0,0
199.75,99.5,27.92,973.73,4.03,79.53,336.95,27.53,50.9,53.45,21.0,2.07,60.2,1,0,0,0
209.0,107.75,28.02,973.35,4.0,79.0,340.78,46.98,65.8,51.85,11.78,2.17,64.6,1,0,0,0
187.75,91.5,28.0,973.05,4.0,79.5,341.2,47.5,59.8,39.7,8.1,2.17,60.03,1,0,0,0
191.25,89.0,28.05,973.02,4.0,79.67,341.27,50.2,63.33,42.15,11.62,2.17,63.1,1,0,0,0
166.5,85.25,28.15,973.23,4.0,77.73,128.8,37.58,50.45,37.27,13.6,2.17,57.4,1,0,0,0
127.5,76.5,28.13,973.7,4.25,77.38,238.05,20.45,33.25,31.15,16.17,2.17,31.4,1,0,0,0
