PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
117.0,37.5,28.52,975.67,49.72,84.4,122.72,2.5,0.2,23.23,1.62,1.25,1.5,1,0,0,0
87.25,43.75,28.45,975.27,49.7,86.2,119.88,2.45,0.0,23.23,1.93,1.27,24.2,1,0,0,0
101.0,41.75,28.52,975.12,49.5,87.23,96.38,3.1,1.1,23.23,3.2,1.9,41.58,1,0,0,0
113.0,46.5,28.45,974.78,49.45,88.55,275.12,2.88,0.57,23.23,3.02,1.9,32.7,1,0,0,0
117.75,48.25,28.45,974.67,49.3,88.4,207.65,2.72,0.3,23.23,3.12,1.7,10.65,1,0,0,0
102.0,46.25,27.45,975.22,53.57,94.38,50.62,3.08,0.7,23.23,2.05,0.47,2.93,1,0,0,0
10.5,9.5,27.1,976.6,55.98,97.18,212.38,2.92,0.62,23.23,1.25,0.4,2.93,1,0,0,0
6.0,5.0,27.0,976.98,55.05,97.75,151.05,3.1,0.47,23.23,0.7,0.33,2.93,1,0,0,0
6.0,5.0,27.15,976.55,62.57,97.6,130.78,2.9,0.23,23.23,0.35,0.43,2.77,1,0,0,0
6.0,5.0,27.27,976.3,100.42,97.65,48.23,2.97,0.4,23.23,0.5,0.57,12.25,1,0,0,0
35.0,28.0,27.55,975.95,216.95,97.72,103.9,2.98,0.28,23.23,1.4,0.83,43.1,1,0,0,0
36.75,28.5,28.07,975.67,342.48,96.17,257.23,2.78,0.27,23.23,1.55,0.93,32.82,1,0,0,0
39.0,27.0,28.65,975.12,374.1,89.7,271.6,2.75,0.33,23.23,0.93,0.68,8.82,1,0,0,0
30.0,18.0,29.47,974.58,448.9,73.42,291.35,2.67,0.1,23.23,0.57,0.63,8.55,1,0,0,0
41.0,22.0,29.85,973.87,536.02,64.55,297.83,3.08,0.5,23.23,1.72,0.72,7.75,1,0,0,0
52.75,24.75,29.68,973.33,481.22,69.35,349.8,3.0,0.2,23.23,2.52,0.97,19.3,1,0,0,0
81.75,33.25,29.25,973.05,297.77,72.68,5.97,2.88,0.33,23.23,2.65,0.8,18.62,1,0,0,0
69.75,35.5,29.02,972.88,155.65,77.57,16.65,2.8,0.23,23.23,2.27,0.9,20.05,1,0,0,0
91.75,40.5,28.7,973.35,73.1,82.53,106.67,2.52,0.07,23.23,2.87,1.23,34.6,1,0,0,0
101.0,47.25,28.38,974.03,50.55,87.5,243.77,2.9,0.53,23.23,3.53,1.65,21.4,1,0,0,0
114.5,61.5,28.35,974.58,50.05,87.27,32.7,2.97,0.45,23.23,2.6,2.35,7.48,1,0,0,0
114.75,55.75,28.15,975.12,50.23,87.77,32.15,3.0,0.4,23.23,1.97,2.33,3.05,1,0,0,0
121.25,61.75,28.5,975.2,49.5,85.85,60.42,2.67,0.23,23.23,2.78,2.42,31.37,1,0,0,0
172.0,85.5,28.2,975.05,49.8,89.05,122.3,2.6,0.23,23.23,3.95,2.12,58.4,1,0,0,0
148.25,71.25,28.12,974.67,49.5,89.25,16.05,2.85,0.25,23.23,3.6,1.77,105.5,1,0,0,0
139.0,74.5,27.95,974.15,49.6,90.85,3.98,2.77,0.12,23.23,3.43,1.87,105.5,1,0,0,0
140.75,67.25,28.02,973.95,49.85,91.57,3.85,1.4,0.12,23.23,4.3,2.0,105.5,1,0,0,0
158.25,77.75,28.13,973.92,49.95,90.35,61.32,2.98,0.68,23.23,4.35,1.77,105.5,1,0,0,0
161.25,80.75,28.37,974.17,49.52,86.93,89.82,2.75,0.27,23.23,4.25,1.05,73.47,1,0,0,0
135.25,78.75,28.22,974.65,50.35,88.7,183.88,2.83,0.37,23.23,3.35,1.17,28.53,1,0,0,0
98.5,57.25,28.2,975.22,66.17,87.75,192.9,2.95,0.35,23.23,2.95,0.53,28.53,1,0,0,0
39.5,27.75,28.1,975.8,110.53,90.28,131.5,2.97,0.4,23.23,1.97,0.55,28.53,1,0,0,0
