PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
162.5,54.25,27.4,735.92,7.03,77.97,133.75,87.75,96.42,46.7,12.1,2.42,9.33,1,0,0,0
209.25,65.5,27.4,735.84,7.1,77.58,65.5,102.32,105.97,42.4,14.55,2.38,16.8,1,0,0,0
227.0,65.75,27.4,735.88,7.17,77.88,119.0,69.83,76.65,37.0,12.07,1.35,10.28,1,0,0,0
167.25,46.0,27.3,735.86,7.12,76.45,38.5,12.8,27.7,32.5,6.5,0.45,7.85,1,0,0,0
82.75,27.75,27.2,735.64,7.08,78.53,63.75,11.62,24.3,27.88,11.5,0.25,7.33,1,0,0,0
98.0,34.75,26.5,735.69,7.6,79.47,111.75,7.5,17.17,20.88,6.8,0.23,11.1,1,0,0,0
76.5,31.0,24.95,735.81,8.5,86.22,109.75,2.58,7.83,10.78,13.82,0.6,23.3,1,0,0,0
5.0,31.0,24.85,735.69,9.08,87.1,120.75,8.22,19.65,24.35,14.1,0.67,13.72,1,0,0,0
10.5,2.0,24.93,735.99,11.68,87.4,116.75,15.85,31.43,34.8,13.05,0.98,5.33,1,0,0,0
14.25,5.75,25.25,735.75,33.6,87.53,108.25,26.42,40.55,35.65,15.12,1.3,6.1,1,0,0,0
30.75,18.5,25.73,735.77,86.58,86.5,72.5,29.93,46.98,42.45,16.5,1.48,7.4,1,0,0,0
35.25,25.0,27.1,735.73,218.15,77.58,57.5,7.6,25.53,36.35,10.0,1.47,30.25,1,0,0,0
47.0,32.75,28.05,736.05,179.35,70.6,71.5,5.45,22.17,33.33,27.45,1.0,62.65,1,0,0,0
67.75,39.5,28.0,735.79,113.9,71.0,72.0,3.1,19.38,31.65,26.45,0.9,66.15,1,0,0,0
80.5,42.0,28.27,735.84,123.62,68.85,72.0,3.1,16.43,26.15,24.68,0.88,67.45,1,0,0,0
66.75,35.75,28.15,735.71,84.45,69.62,79.25,2.72,16.07,26.05,26.8,0.78,69.92,1,0,0,0
68.0,36.0,28.08,735.96,60.73,70.03,78.0,3.15,17.75,28.55,26.07,0.82,68.25,1,0,0,0
75.0,37.75,28.12,735.84,48.32,68.8,69.75,2.15,20.95,36.12,25.4,0.9,70.05,1,0,0,0
77.25,31.75,27.83,735.79,21.8,68.1,42.25,3.72,28.8,48.48,23.0,0.9,49.45,1,0,0,0
83.0,30.25,27.42,736.05,7.6,72.77,149.75,14.75,48.3,68.17,18.3,1.25,15.07,1,0,0,0
123.0,49.75,27.32,735.81,7.32,75.55,88.0,27.72,62.57,75.15,26.2,1.85,7.22,1,0,0,0
156.75,60.0,27.23,735.81,7.33,76.98,131.75,25.97,54.95,63.5,21.08,1.9,5.23,1,0,0,0
119.5,52.5,27.0,735.9,7.35,76.28,113.25,50.3,74.25,62.58,21.2,1.9,5.28,1,0,0,0
138.75,43.25,26.65,736.05,7.3,79.2,67.5,52.4,75.7,62.05,24.37,2.0,7.48,1,0,0,0
148.0,56.0,26.5,735.98,7.3,80.78,153.75,59.62,80.15,59.33,20.7,2.3,9.12,1,0,0,0
148.5,56.5,26.4,735.84,7.25,82.28,191.5,91.97,101.05,48.98,22.77,2.38,25.8,1,0,0,0
143.25,58.25,26.5,735.75,7.28,81.12,180.25,100.05,110.7,54.75,19.12,2.25,18.43,1,0,0,0
140.75,58.0,26.58,735.58,7.17,81.3,177.75,103.75,109.72,47.28,20.75,2.23,13.4,1,0,0,0
127.75,61.5,26.77,735.75,7.15,79.57,159.5,118.9,120.3,43.92,23.1,2.47,49.8,1,0,0,0
166.75,83.75,26.65,735.86,7.42,78.92,86.0,84.3,88.35,36.85,24.73,2.3,169.55,1,0,0,0
152.0,93.25,26.63,735.64,12.15,81.1,104.25,99.88,100.0,34.98,19.62,2.0,122.72,1,0,0,0
159.75,99.25,26.7,735.86,33.83,82.57,67.5,103.75,109.35,46.5,22.52,1.98,157.0,1,0,0,0
160.25,96.25,27.1,735.67,64.4,79.55,101.75,49.38,67.17,50.58,19.07,1.3,90.45,1,0,0,0
103.75,60.0,27.48,735.99,66.17,73.6,113.75,14.58,30.12,34.33,15.57,0.62,41.73,1,0,0,0
61.0,38.75,28.02,735.71,109.1,68.28,125.5,9.0,26.08,35.23,19.77,0.45,50.58,1,0,0,0
72.25,39.0,28.67,735.75,131.88,65.6,106.5,6.42,30.45,47.4,25.1,0.57,56.45,1,0,0,0
77.75,41.0,30.05,735.96,183.92,59.78,121.75,6.2,22.45,32.7,10.9,0.65,67.88,1,0,0,0
71.5,36.0,31.73,736.09,69.8,66.97,95.5,5.55,18.83,26.88,9.15,0.53,52.8,1,0,0,0
54.25,27.0,29.87,735.71,55.5,81.73,73.25,6.8,23.07,32.95,8.6,0.65,23.9,1,0,0,0
27.75,19.0,30.25,735.62,51.05,76.93,79.25,4.0,16.62,25.12,6.13,0.68,30.7,1,0,0,0
34.5,20.5,30.07,735.75,34.33,78.78,66.25,17.02,36.48,42.47,6.78,0.9,13.65,1,0,0,0
42.0,19.5,30.67,736.11,27.95,77.03,97.75,11.92,33.05,43.88,2.57,1.07,16.88,1,0,0,0
77.75,28.75,30.4,735.86,16.5,75.85,122.25,23.62,43.55,45.72,15.28,1.05,7.4,1,0,0,0
80.25,25.75,30.23,735.43,7.73,76.58,115.75,23.7,43.1,44.75,14.73,1.25,6.47,1,0,0,0
