PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
99.0,33.25,28.23,975.35,4.38,84.15,335.77,137.7,140.8,55.15,8.57,2.15,7.25,1,0,0,0
92.25,30.5,28.22,974.98,4.4,84.4,335.7,146.4,146.78,51.53,10.23,2.18,95.7,1,0,0,0
118.75,34.25,28.38,974.83,4.33,82.55,287.68,146.4,146.78,51.53,10.23,2.18,17.45,1,0,0,0
149.25,43.0,28.3,974.48,4.3,83.67,193.35,131.88,131.92,45.75,7.93,0.9,8.55,1,0,0,0
62.5,23.5,28.17,974.35,4.17,84.67,185.32,99.12,108.2,51.42,7.97,0.55,7.85,1,0,0,0
53.5,24.25,27.65,974.95,4.18,83.4,118.8,63.8,77.9,48.62,6.77,0.22,7.12,1,0,0,0
31.0,13.0,27.1,976.42,5.53,85.9,144.95,44.98,61.8,47.25,6.22,0.1,6.57,1,0,0,0
31.0,13.0,27.0,976.48,7.68,86.32,94.47,28.35,44.78,40.73,5.6,0.1,3.0,1,0,0,0
31.0,13.0,27.1,976.27,14.12,86.67,302.53,22.35,44.0,48.5,7.75,0.1,5.75,1,0,0,0
18.0,14.0,27.25,975.92,67.42,86.43,331.77,38.55,60.08,53.8,8.75,0.9,6.82,1,0,0,0
18.5,13.5,27.78,975.7,183.95,82.75,57.38,58.9,74.8,56.0,8.95,1.38,15.3,1,0,0,0
50.75,16.25,28.82,975.4,387.1,72.5,158.55,97.82,113.12,62.67,12.0,1.8,11.15,1,0,0,0
151.75,33.0,29.5,974.8,505.65,65.4,186.8,93.75,116.82,75.98,11.53,1.75,14.8,1,0,0,0
176.5,48.0,29.52,974.17,281.38,64.85,210.75,69.15,102.33,86.4,12.07,1.83,20.3,1,0,0,0
163.5,55.25,29.6,973.53,307.52,63.9,218.42,43.35,81.53,86.85,11.33,1.67,23.7,1,0,0,0
136.0,47.0,29.52,972.97,234.85,63.97,236.22,36.35,76.45,87.97,10.95,1.58,15.7,1,0,0,0
126.0,37.5,29.73,972.62,255.73,60.38,261.08,40.03,82.75,94.3,9.95,1.3,19.18,1,0,0,0
119.5,35.5,29.55,972.35,132.22,60.77,262.5,55.12,92.2,88.92,9.55,1.5,17.88,1,0,0,0
142.75,34.0,29.27,972.88,64.67,61.05,217.32,63.45,97.78,86.6,10.8,1.78,9.52,1,0,0,0
167.0,38.0,28.68,973.6,5.45,71.38,274.65,102.72,127.9,83.03,14.3,2.08,14.78,1,0,0,0
162.5,49.25,28.42,974.15,4.43,78.17,337.18,66.6,96.15,78.75,10.2,1.53,21.3,1,0,0,0
108.75,47.25,28.23,974.68,4.43,81.55,338.88,48.67,76.72,69.77,9.3,1.6,11.5,1,0,0,0
97.5,46.25,28.02,974.8,4.33,81.93,341.37,56.3,84.7,73.0,9.45,1.8,4.28,1,0,0,0
111.75,43.25,28.0,974.8,4.28,82.78,341.2,94.25,111.15,64.58,10.03,2.38,7.28,1,0,0,0
148.5,53.25,27.92,974.4,4.2,84.72,341.38,121.83,131.22,59.95,11.82,2.75,10.95,1,0,0,0
157.5,60.25,27.85,973.8,4.2,85.88,341.4,134.93,140.23,57.92,12.5,2.55,68.9,1,0,0,0
114.5,52.75,27.85,973.6,4.2,86.05,341.35,134.93,140.23,57.92,12.5,2.55,21.25,1,0,0,0
101.25,55.25,27.85,973.55,4.2,85.9,341.38,112.65,119.6,52.2,13.35,1.9,24.28,1,0,0,0
86.5,57.5,27.85,973.92,4.2,84.7,341.4,97.62,109.65,56.5,12.28,1.57,28.05,1,0,0,0
111.0,65.0,27.98,974.28,4.8,83.95,343.35,101.28,111.45,54.4,14.5,1.98,56.3,1,0,0,0
153.25,73.75,27.95,974.88,16.7,84.6,16.2,130.4,136.5,56.75,14.1,1.65,66.4,1,0,0,0
124.75,75.0,28.23,975.4,70.58,84.12,119.35,157.47,154.95,49.8,15.93,1.8,85.97,1,0,0,0
106.0,74.0,28.47,976.15,149.35,80.55,12.07,140.1,147.0,61.07,6.67,1.13,42.35,1,0,0,0
64.25,49.75,28.68,976.48,134.82,73.3,334.23,93.65,110.55,64.22,2.58,0.88,14.55,1,0,0,0
45.75,35.75,29.17,976.52,308.73,65.12,322.48,50.48,76.12,65.72,1.07,0.55,21.9,1,0,0,0
47.0,27.25,29.23,976.48,285.88,63.52,331.23,24.75,54.43,64.43,3.67,0.55,33.38,1,0,0,0
63.0,38.75,29.6,975.85,458.4,60.95,321.1,10.45,44.75,68.15,6.2,0.45,33.9,1,0,0,0
61.0,33.0,28.93,975.3,197.6,69.67,298.38,7.15,38.15,58.2,3.8,0.57,33.8,1,0,0,0
47.5,26.5,28.52,974.7,183.32,79.15,227.38,64.78,87.68,65.75,11.77,1.77,12.88,1,0,0,0
55.75,27.75,28.52,974.33,89.05,80.0,241.75,76.72,99.62,69.7,13.18,1.9,13.9,1,0,0,0
68.5,36.5,28.45,973.95,98.2,81.08,238.45,122.58,136.52,69.55,15.3,2.3,8.6,1,0,0,0
76.0,38.5,28.73,973.92,97.92,74.47,290.4,115.75,132.4,71.65,12.1,1.43,9.45,1,0,0,0
76.25,35.5,28.35,974.2,31.4,75.93,326.5,61.95,86.77,68.2,9.25,0.98,9.7,1,0,0,0
54.5,22.25,28.2,974.8,4.88,77.53,317.23,43.2,68.27,62.18,8.23,1.1,4.55,1,0,0,0
64.75,25.0,28.2,975.55,4.1,78.15,332.93,41.6,67.45,62.05,7.67,1.17,7.0,1,0,0,0
54.5,30.5,28.3,976.17,4.03,76.7,334.95,30.73,56.43,58.95,7.1,1.1,6.15,1,0,0,0
56.5,30.5,28.3,976.25,4.03,77.9,321.98,25.7,51.9,58.27,6.88,1.15,7.7,1,0,0,0
66.0,36.25,28.23,975.97,4.1,79.3,329.48,30.72,56.95,60.03,6.9,1.02,8.07,1,0,0,0
68.75,44.25,28.1,975.92,4.12,80.7,324.25,27.12,53.62,59.23,6.92,0.88,7.95,1,0,0,0
84.75,54.0,28.1,975.92,4.03,81.17,316.9,28.55,54.17,58.1,6.77,0.85,87.95,1,0,0,0
76.5,44.0,28.08,975.48,4.0,81.53,345.27,28.55,54.17,58.1,6.77,0.85,14.28,1,0,0,0
62.0,40.5,28.0,975.48,4.0,81.03,335.15,21.38,41.05,44.42,5.97,0.7,12.1,1,0,0,0
60.0,41.0,27.95,975.7,3.95,81.47,324.27,20.55,43.62,50.48,4.75,0.7,2.65,1,0,0,0
65.5,43.75,27.85,976.27,5.82,83.27,325.15,24.67,47.33,51.12,4.95,0.75,4.95,1,0,0,0
73.0,33.25,27.9,976.75,41.05,82.85,314.9,32.03,52.7,50.05,4.62,0.75,7.53,1,0,0,0
69.0,30.75,28.45,976.8,182.43,76.53,329.35,34.6,52.88,46.4,4.6,0.7,6.8,1,0,0,0
57.0,31.5,28.65,976.9,261.5,71.85,352.75,23.12,41.33,42.22,4.6,0.7,10.9,1,0,0,0
56.0,34.75,28.97,976.73,366.8,67.38,93.8,11.53,27.17,29.0,4.8,0.73,22.28,1,0,0,0
52.25,30.25,29.35,977.15,391.43,62.9,251.6,76.4,242.6,352.4,2.73,0.7,22.02,1,0,0,0
49.25,27.25,29.62,976.95,488.35,60.52,345.35,2.33,14.07,22.95,1.62,0.65,26.75,1,0,0,0
42.75,22.0,29.77,976.4,565.62,57.3,341.4,2.9,17.57,28.55,4.6,0.6,30.38,1,0,0,0
29.5,11.75,29.85,975.95,587.35,56.22,346.27,3.42,20.02,32.42,5.7,0.6,27.8,1,0,0,0
27.0,8.0,29.55,975.43,384.62,58.75,181.8,3.9,20.18,32.0,7.48,0.6,30.95,1,0,0,0
25.25,8.25,29.75,974.5,542.95,57.67,101.3,3.67,21.12,34.08,6.35,0.7,40.1,1,0,0,0
