PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
81.0,40.0,27.15,934.17,5.85,82.5,269.25,95.68,91.75,25.83,11.03,0.65,27.57,1,0,0,0
81.0,48.0,26.98,934.2,5.62,83.28,236.0,95.28,89.62,22.45,16.82,0.38,91.0,1,0,0,0
81.0,48.0,26.85,934.15,5.73,83.7,230.0,57.0,58.9,23.3,11.3,0.1,35.35,1,0,0,0
81.0,42.0,26.5,934.15,5.78,83.8,215.0,27.2,34.23,22.65,7.6,0.1,30.45,1,0,0,0
81.0,34.0,25.88,950.5,5.68,83.33,168.5,11.37,23.67,27.1,3.02,0.1,30.43,1,0,0,0
36.0,19.0,24.58,984.0,5.65,84.8,219.5,2.7,8.3,11.43,2.9,0.1,39.6,1,0,0,0
6.0,19.0,23.7,968.8,6.3,85.15,148.25,2.38,6.78,9.08,2.25,0.2,23.3,1,0,0,0
7.0,19.0,23.45,959.75,7.45,85.95,109.0,5.1,15.27,20.9,2.6,0.32,30.82,1,0,0,0
9.0,19.0,23.72,952.7,12.62,86.25,182.75,15.0,29.3,32.02,3.83,0.22,22.32,1,0,0,0
16.0,3.0,24.05,975.05,47.02,86.43,152.25,19.32,32.12,30.7,8.35,0.25,19.65,1,0,0,0
16.0,3.0,25.08,954.05,120.15,86.2,212.25,31.88,42.7,31.35,9.8,0.23,32.35,1,0,0,0
25.0,6.0,26.4,934.22,261.27,84.9,219.0,18.43,31.15,30.27,6.72,0.3,31.18,1,0,0,0
24.0,7.0,28.52,934.1,326.67,80.05,200.0,11.9,26.45,31.42,3.23,0.17,43.08,1,0,0,0
24.0,8.0,30.82,934.1,311.08,69.0,197.25,4.15,14.08,20.02,1.0,0.15,80.47,1,0,0,0
29.0,6.0,31.12,934.07,278.6,66.02,211.25,2.58,11.8,18.2,1.0,0.28,99.47,1,0,0,0
38.0,11.0,31.1,934.07,185.45,66.1,227.75,2.65,11.65,17.88,1.0,0.33,111.2,1,0,0,0
51.0,18.0,30.48,934.1,125.07,69.0,226.75,1.9,14.32,24.02,1.0,0.5,90.6,1,0,0,0
74.0,39.0,29.57,934.0,65.25,70.8,242.0,1.88,12.9,21.45,4.0,0.9,92.75,1,0,0,0
66.0,35.0,28.5,934.0,23.88,73.35,190.0,2.4,20.12,34.1,8.73,0.75,58.18,1,0,0,0
67.0,18.0,27.4,934.05,6.43,78.1,215.0,11.52,37.3,52.53,12.62,1.85,31.27,1,0,0,0
86.0,20.0,27.12,934.0,5.83,80.5,220.75,36.85,63.7,63.27,20.12,2.2,36.58,1,0,0,0
86.0,30.0,27.15,934.07,5.88,81.62,238.0,80.35,100.1,65.05,19.62,2.48,31.02,1,0,0,0
86.0,25.0,26.75,934.1,5.85,82.55,210.25,69.2,84.85,53.48,20.53,1.98,27.95,1,0,0,0
86.0,19.0,26.48,934.12,5.82,83.4,274.25,49.3,71.45,58.77,16.25,2.32,31.83,1,0,0,0
86.0,31.0,26.35,934.2,5.77,84.12,198.75,55.58,74.02,54.0,14.1,1.5,35.43,1,0,0,0
86.0,46.0,26.02,934.23,5.73,84.8,179.25,85.95,93.05,43.23,23.62,1.2,91.3,1,0,0,0
86.0,58.0,25.92,934.35,5.78,85.25,218.5,67.2,76.0,39.8,21.7,0.9,43.5,1,0,0,0
99.0,36.0,26.12,934.83,5.7,85.5,148.0,66.97,70.7,30.25,20.58,1.02,43.38,1,0,0,0
89.0,36.0,26.32,934.42,5.78,85.65,150.75,65.72,70.4,31.65,21.28,1.23,58.2,1,0,0,0
90.0,39.0,26.45,934.5,6.22,85.6,187.0,88.07,93.1,40.03,13.9,1.45,47.55,1,0,0,0
90.0,38.0,26.42,934.48,16.62,85.35,166.5,75.6,81.22,36.8,9.75,1.13,90.38,1,0,0,0
