PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
465.0,91.75,32.5,977.88,6.03,88.25,69.0,84.4,78.42,18.02,9.03,3.07,14.45,1,0,0,0
238.0,83.5,32.52,977.45,5.85,88.33,69.7,80.92,75.15,17.3,9.05,2.2,41.1,1,0,0,0
141.0,75.0,32.27,977.3,5.83,89.32,69.8,29.4,33.8,17.6,6.0,1.1,35.85,1,0,0,0
105.25,59.0,32.2,976.98,5.8,88.8,66.67,18.15,24.7,18.65,6.3,0.9,21.8,1,0,0,0
80.25,44.75,32.4,976.83,5.82,85.5,259.95,8.8,16.68,17.9,6.35,0.47,17.43,1,0,0,0
44.5,29.75,31.07,977.35,5.9,86.03,258.82,4.62,5.92,4.05,6.03,0.2,15.9,1,0,0,0
7.0,5.0,30.38,978.55,6.33,89.7,254.35,5.7,6.3,3.12,6.22,0.2,15.9,1,0,0,0
7.0,5.0,30.35,979.05,7.5,90.5,284.68,6.98,8.68,5.62,6.23,0.53,8.83,1,0,0,0
7.0,5.0,30.35,978.93,13.88,90.43,251.85,6.3,7.75,4.95,6.32,0.6,30.3,1,0,0,0
7.0,5.0,30.73,978.47,58.9,90.38,224.23,12.23,14.9,9.3,6.55,0.85,17.8,1,0,0,0
7.0,5.0,31.67,978.25,169.95,86.17,149.65,10.03,13.68,10.32,6.45,1.0,15.2,1,0,0,0
7.0,5.0,33.83,978.08,371.43,75.9,22.43,11.0,16.02,13.25,6.17,1.07,19.95,1,0,0,0
42.0,40.0,35.58,977.35,453.35,66.97,47.02,8.88,14.6,13.8,6.25,1.07,19.9,1,0,0,0
44.0,42.0,35.35,976.85,342.62,68.8,114.12,6.5,11.47,11.62,5.97,0.95,8.65,1,0,0,0
50.0,48.0,34.53,976.12,325.0,72.08,134.1,5.17,8.22,7.55,5.4,0.68,17.0,1,0,0,0
50.0,48.0,34.53,975.58,312.8,72.05,119.2,5.38,6.62,4.22,4.95,0.5,11.8,1,0,0,0
34.0,31.0,34.58,975.25,201.75,71.75,116.05,5.5,6.9,4.53,5.03,0.55,9.0,1,0,0,0
34.0,30.25,34.7,975.05,124.38,69.4,146.03,5.58,7.97,6.42,5.2,0.62,6.8,1,0,0,0
33.0,27.0,33.45,975.47,33.6,75.62,156.05,5.7,7.95,6.2,5.55,0.65,19.55,1,0,0,0
31.0,25.25,32.7,976.17,6.8,81.68,158.4,6.07,9.05,7.75,5.73,0.83,21.93,1,0,0,0
38.75,33.25,32.42,976.67,5.85,84.62,160.6,7.92,12.73,11.77,6.35,1.17,10.77,1,0,0,0
76.0,50.25,32.2,977.18,5.72,87.03,176.32,39.8,39.12,11.87,6.72,1.88,20.4,1,0,0,0
141.75,72.25,32.0,977.27,5.7,86.55,217.6,64.42,59.3,12.62,8.33,2.7,3.9,1,0,0,0
133.0,101.25,32.05,977.23,5.7,83.88,269.25,68.25,63.33,14.32,9.23,3.07,17.33,1,0,0,0
130.5,105.75,31.45,976.8,5.62,88.1,269.3,68.1,62.25,12.65,7.55,3.03,4.95,1,0,0,0
114.0,108.0,31.42,976.27,5.72,89.35,268.82,41.7,40.5,12.17,5.75,1.95,4.95,1,0,0,0
114.0,108.0,31.52,976.1,5.78,89.68,268.1,30.2,31.4,12.8,5.7,1.5,16.28,1,0,0,0
114.0,108.0,31.9,976.07,5.78,88.2,267.2,28.43,29.7,12.22,5.33,1.4,16.7,1,0,0,0
114.0,108.0,31.98,976.4,5.75,88.47,267.2,26.2,27.38,11.32,5.22,1.18,14.68,1,0,0,0
114.0,108.0,31.8,976.78,6.25,89.72,267.4,28.17,28.12,9.7,5.27,1.05,10.37,1,0,0,0
114.0,108.0,32.0,977.4,19.27,89.82,266.07,21.32,23.35,11.2,5.78,0.9,19.5,1,0,0,0
114.0,108.0,32.4,977.95,63.08,88.92,161.65,26.5,29.27,14.5,6.35,1.28,21.2,1,0,0,0
