PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
57.0,29.0,19.48,975.9,8.6,87.15,226.08,42.52,37.67,5.6,4.5,1.38,3.5,1,0,0,0
62.0,34.0,19.18,975.85,8.6,87.58,147.38,41.35,36.58,5.32,3.48,1.12,6.3,1,0,0,0
67.0,30.0,19.43,975.72,8.6,87.8,179.4,38.5,35.5,7.7,6.2,1.12,4.0,1,0,0,0
59.0,30.0,19.32,975.58,8.62,87.9,235.43,34.48,33.38,9.82,5.15,0.8,3.83,1,0,0,0
85.0,40.0,19.25,975.52,8.62,87.68,236.7,25.05,26.17,10.85,5.17,0.55,4.15,1,0,0,0
55.0,31.0,18.03,975.77,8.65,86.03,206.68,7.47,11.18,9.57,2.47,0.28,8.43,1,0,0,0
23.0,7.0,16.35,976.55,9.05,86.97,103.53,5.77,9.03,8.15,2.42,0.2,13.7,1,0,0,0
12.0,5.0,15.72,976.55,10.7,87.88,96.35,4.97,9.47,10.15,1.47,0.13,13.15,1,0,0,0
8.0,3.0,16.15,976.5,17.43,88.1,137.8,5.1,12.35,15.43,2.25,0.13,8.57,1,0,0,0
3.0,2.0,17.05,976.32,57.5,88.1,243.47,6.05,13.7,16.48,4.05,0.35,7.82,1,0,0,0
6.75,3.0,18.1,976.13,120.27,87.57,237.9,13.53,22.97,22.3,5.7,0.2,5.73,1,0,0,0
9.0,6.25,22.02,975.9,277.8,79.22,213.62,8.45,15.85,16.82,2.83,0.33,11.3,1,0,0,0
11.75,9.75,25.32,975.52,346.17,72.45,252.8,9.95,19.65,21.73,3.85,0.23,14.62,1,0,0,0
20.0,18.25,27.8,975.23,359.33,67.4,239.82,5.78,13.4,16.28,5.2,0.37,27.85,1,0,0,0
22.25,19.75,29.6,974.88,424.77,63.53,239.55,3.05,8.57,11.43,4.58,0.25,49.4,1,0,0,0
28.75,22.0,29.5,974.62,353.4,62.92,249.18,2.38,7.8,11.0,4.83,0.25,65.8,1,0,0,0
35.0,27.75,29.33,974.53,295.85,64.1,249.18,2.62,9.12,13.12,5.28,0.55,82.92,1,0,0,0
54.5,43.25,26.4,974.48,104.9,70.03,234.25,2.27,8.57,12.62,4.07,0.45,66.55,1,0,0,0
49.0,36.25,25.75,974.73,54.85,71.45,238.12,2.52,10.28,15.47,5.42,0.6,41.75,1,0,0,0
45.0,29.0,21.52,975.1,9.4,80.53,88.1,2.33,11.28,17.65,4.47,0.73,15.0,1,0,0,0
41.0,24.75,20.12,975.45,8.65,85.1,178.88,2.85,9.3,13.07,2.83,0.77,6.0,1,0,0,0
41.25,29.75,19.9,975.62,8.6,86.25,127.95,24.5,27.32,13.82,4.22,2.2,3.3,1,0,0,0
57.0,32.75,19.52,975.67,8.6,86.82,120.78,71.08,69.2,21.2,6.95,3.23,3.6,1,0,0,0
74.5,44.75,19.12,975.67,8.62,87.22,198.05,58.62,56.55,16.5,7.5,3.5,4.05,1,0,0,0
75.0,49.0,18.5,975.55,8.6,87.58,219.25,35.5,39.92,20.6,8.82,3.23,5.1,1,0,0,0
81.5,57.25,18.45,975.3,8.62,87.8,141.88,24.75,32.33,22.8,8.67,3.2,9.6,1,0,0,0
81.5,64.0,18.62,975.25,8.6,87.93,155.72,33.3,34.0,12.9,6.9,3.2,8.45,1,0,0,0
76.25,63.5,18.95,975.12,8.6,87.97,187.25,36.7,37.52,14.32,8.42,2.0,8.7,1,0,0,0
74.25,62.0,19.52,975.27,8.6,88.05,203.93,48.28,47.0,14.42,8.88,2.18,10.68,1,0,0,0
75.0,60.75,19.55,975.45,9.02,88.1,205.1,40.48,42.65,18.2,9.53,1.88,12.85,1,0,0,0
74.75,57.25,19.98,975.7,21.52,88.1,107.1,42.7,42.95,15.3,5.55,2.0,15.07,1,0,0,0
65.75,53.25,20.55,976.0,77.8,87.4,161.62,24.52,29.48,17.8,5.53,1.23,10.4,1,0,0,0
39.25,34.75,22.33,976.3,114.12,82.15,243.7,10.68,17.25,16.1,4.25,0.93,10.25,1,0,0,0
35.75,21.0,23.57,976.45,141.68,76.28,294.48,7.27,13.05,13.37,5.57,0.5,12.02,1,0,0,0
37.75,18.5,26.83,976.4,225.8,67.18,325.72,6.8,14.45,16.77,4.58,0.33,18.98,1,0,0,0
30.5,22.25,28.33,976.33,358.88,64.7,300.0,5.23,14.35,19.0,5.13,0.38,36.2,1,0,0,0
45.0,34.25,30.62,976.03,417.95,60.8,314.35,3.35,11.8,17.0,11.15,0.33,78.8,1,0,0,0
65.5,47.0,29.6,975.7,251.8,62.72,264.12,2.35,9.3,13.88,10.22,0.3,74.85,1,0,0,0
57.0,34.5,27.9,975.43,375.12,67.42,281.88,2.6,9.28,13.5,7.7,0.3,41.17,1,0,0,0
34.5,23.5,28.68,975.2,401.33,66.6,280.88,3.43,10.62,14.77,8.35,1.52,37.17,1,0,0,0
32.25,23.5,24.88,975.2,85.6,73.78,271.33,4.48,15.53,22.4,7.9,1.7,22.5,1,0,0,0
43.25,27.25,25.0,975.18,88.33,74.2,272.07,8.85,26.57,36.42,9.6,1.95,14.53,1,0,0,0
54.0,26.25,24.67,975.38,44.92,74.65,288.7,5.45,23.2,35.27,7.77,2.08,14.45,1,0,0,0
47.0,29.25,22.57,975.68,9.35,77.35,296.05,5.88,23.75,35.65,6.77,1.9,4.7,1,0,0,0
47.0,26.0,21.8,976.12,8.6,78.85,177.03,10.03,24.93,31.48,5.22,1.77,3.75,1,0,0,0
55.0,24.75,20.98,976.38,8.58,82.28,177.57,19.95,30.72,27.2,4.8,1.7,3.72,1,0,0,0
54.5,31.5,21.27,976.4,8.55,82.0,92.75,22.7,31.65,24.75,6.23,2.05,10.35,1,0,0,0
61.25,35.75,20.05,976.3,8.57,84.95,154.9,26.27,29.3,14.85,5.87,1.75,13.9,1,0,0,0
57.25,33.75,19.35,976.28,8.58,86.5,196.93,23.7,26.0,12.47,8.0,1.65,17.73,1,0,0,0
53.5,29.5,19.38,976.23,8.6,86.65,171.77,23.8,27.03,14.33,8.73,1.5,41.6,1,0,0,0
56.75,28.25,19.38,976.05,8.55,87.2,149.55,12.9,18.9,15.8,7.6,1.5,47.77,1,0,0,0
53.0,29.5,19.5,975.85,8.58,87.28,47.17,12.7,18.77,15.77,8.62,0.3,37.8,1,0,0,0
51.0,30.25,19.33,976.18,8.55,86.3,78.23,7.47,12.18,11.45,7.9,0.1,14.75,1,0,0,0
45.75,28.75,18.85,976.45,10.22,87.02,173.9,6.05,10.55,10.57,7.03,0.27,8.03,1,0,0,0
50.0,33.25,19.57,976.6,41.6,86.07,294.45,7.93,14.48,15.1,7.75,0.2,7.7,1,0,0,0
54.5,41.0,23.45,976.55,177.65,75.88,169.15,9.07,16.65,17.38,12.58,0.28,16.5,1,0,0,0
44.75,37.25,26.85,976.52,355.48,66.47,42.67,5.38,9.32,9.32,11.43,0.13,20.28,1,0,0,0
30.5,17.0,27.97,976.45,321.08,63.88,54.75,4.05,8.43,9.62,7.77,0.98,23.4,1,0,0,0
35.25,17.75,29.32,976.6,340.65,61.83,33.12,3.95,8.88,10.6,6.45,0.82,26.93,1,0,0,0
34.75,18.25,31.5,976.52,535.3,58.28,31.18,2.95,7.08,8.75,5.43,0.75,32.75,1,0,0,0
31.5,14.25,32.75,976.27,521.67,56.35,27.7,3.28,7.17,8.43,2.82,0.68,35.45,1,0,0,0
31.75,16.75,31.25,976.1,262.17,57.23,55.28,3.38,8.1,10.03,3.58,0.65,29.7,1,0,0,0
25.75,11.75,30.6,975.87,480.33,58.88,50.33,4.03,9.08,10.92,2.02,0.83,28.25,1,0,0,0
20.0,7.75,33.0,975.35,490.02,55.62,45.15,3.53,7.38,8.47,1.65,0.2,34.3,1,0,0,0
22.75,7.5,32.25,975.27,296.12,56.43,55.75,3.22,7.5,9.1,1.72,0.5,34.2,1,0,0,0
22.75,9.0,28.23,975.37,111.5,61.9,81.5,3.15,9.35,12.72,4.8,0.33,28.68,1,0,0,0
26.25,10.0,26.25,975.58,35.88,65.15,76.15,3.67,13.22,19.17,7.38,0.45,19.97,1,0,0,0
31.5,13.0,23.7,975.9,8.97,70.05,81.2,4.83,17.05,24.67,7.62,0.38,10.4,1,0,0,0
38.5,13.25,22.6,976.35,8.58,72.62,66.45,8.55,22.57,29.4,6.17,0.67,4.97,1,0,0,0
47.0,15.0,21.65,976.62,8.58,75.2,80.2,13.0,26.07,29.1,5.7,1.73,3.98,1,0,0,0
48.5,17.75,20.9,976.7,8.6,76.85,74.72,8.2,19.5,24.12,5.72,1.57,6.57,1,0,0,0
41.75,16.0,20.48,976.8,8.6,78.12,66.08,5.15,15.52,21.32,4.93,1.38,6.82,1,0,0,0
34.5,13.0,19.55,976.75,8.58,81.4,151.63,5.38,12.43,15.12,5.15,1.4,5.5,1,0,0,0
31.75,12.5,20.95,976.68,8.57,77.52,47.25,3.72,11.45,15.8,5.62,1.4,17.8,1,0,0,0
27.0,11.75,21.1,976.57,8.55,76.08,50.08,2.5,5.2,5.9,5.5,1.4,18.43,1,0,0,0
24.25,12.5,20.77,976.6,8.6,75.78,74.35,2.1,5.28,6.67,4.9,1.4,19.52,1,0,0,0
24.25,8.25,19.85,976.65,8.6,76.38,74.92,2.17,5.78,7.53,4.38,1.4,16.2,1,0,0,0
19.5,8.5,19.02,976.73,10.28,76.62,79.03,2.67,6.7,8.5,6.03,1.4,14.52,1,0,0,0
14.0,6.5,19.12,976.85,49.65,77.0,76.35,4.22,9.33,11.05,6.55,1.4,11.2,1,0,0,0
