PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
74.0,63.0,29.5,977.33,4.8,93.35,35.7,56.17,72.33,16.18,22.0,2.37,20.4,1,0,0,0
74.0,63.0,29.53,976.83,4.75,94.15,35.7,69.5,85.9,16.42,18.98,1.95,10.2,1,0,0,0
74.0,83.0,28.8,976.73,4.72,97.3,35.7,55.08,69.9,14.88,7.25,1.33,8.18,1,0,0,0
74.0,76.25,28.62,976.3,4.72,96.95,35.68,45.17,59.38,14.22,4.05,1.0,5.25,1,0,0,0
73.0,53.5,28.4,976.4,4.7,93.93,179.52,38.05,50.08,12.0,3.32,0.72,4.95,1,0,0,0
58.0,36.5,25.23,976.72,4.67,99.3,210.9,29.92,39.2,9.27,2.85,0.45,4.47,1,0,0,0
19.5,7.25,25.18,978.07,5.07,99.3,164.6,26.65,35.72,9.08,2.6,0.4,4.82,1,0,0,0
10.75,5.0,24.92,978.5,6.05,99.3,190.38,24.22,36.23,12.0,2.52,0.93,4.25,1,0,0,0
7.5,5.75,25.37,978.0,13.0,99.3,3.37,24.1,38.48,14.35,2.0,1.02,8.12,1,0,0,0
11.25,10.25,25.68,977.8,49.33,99.3,4.67,28.47,43.95,15.43,2.4,1.33,31.0,1,0,0,0
18.0,17.0,26.55,977.52,144.75,99.3,45.98,28.4,43.72,15.07,33.87,1.2,61.95,1,0,0,0
52.0,39.0,28.55,977.3,265.15,96.12,198.68,29.0,45.78,16.77,11.28,1.48,55.2,1,0,0,0
46.5,34.0,30.2,976.82,322.4,87.18,198.95,24.47,41.12,16.75,5.1,1.37,16.25,1,0,0,0
34.25,21.5,31.95,976.32,367.92,78.7,225.48,20.02,37.5,17.48,3.5,1.38,15.9,1,0,0,0
53.75,37.25,32.25,975.6,344.35,79.1,284.93,13.27,33.27,20.0,4.08,1.48,22.0,1,0,0,0
75.75,65.25,31.6,975.0,228.02,81.47,260.02,10.67,30.4,19.75,4.1,1.4,22.2,1,0,0,0
80.5,69.5,31.5,974.7,200.23,81.22,262.23,10.35,30.1,19.77,3.25,1.32,17.02,1,0,0,0
83.5,54.5,30.77,974.53,103.15,83.88,296.15,12.12,32.1,20.0,3.1,1.55,13.5,1,0,0,0
97.0,67.25,29.67,974.92,26.05,90.05,1.18,11.88,32.33,20.45,3.87,1.57,9.62,1,0,0,0
97.0,92.0,28.37,975.62,5.62,96.88,74.07,13.8,35.92,22.1,3.1,2.08,5.15,1,0,0,0
97.0,80.0,28.2,976.15,4.83,97.2,79.22,20.1,44.0,23.9,3.1,2.57,5.05,1,0,0,0
97.0,80.0,27.45,976.7,4.8,98.82,84.3,26.55,47.05,20.52,2.92,2.88,5.58,1,0,0,0
97.0,80.0,27.45,976.83,4.8,98.8,92.22,40.52,61.75,21.35,3.9,3.05,17.4,1,0,0,0
97.0,80.0,27.08,976.73,4.8,98.57,71.75,43.83,62.58,18.77,21.05,2.27,66.0,1,0,0,0
97.0,79.5,26.8,976.32,4.8,99.12,10.53,53.8,72.7,18.85,31.93,2.2,65.77,1,0,0,0
97.0,80.5,26.7,975.75,4.83,99.3,10.6,63.58,81.28,17.7,10.13,1.7,21.7,1,0,0,0
97.0,88.75,26.92,975.57,4.8,99.3,10.6,73.73,89.75,16.02,5.35,1.72,16.43,1,0,0,0
97.0,89.75,27.52,975.55,4.83,99.15,10.77,69.95,87.25,17.38,3.9,1.3,9.72,1,0,0,0
97.0,86.0,28.08,975.8,4.8,98.22,10.92,50.88,68.35,17.45,4.83,0.92,7.4,1,0,0,0
99.0,84.5,27.68,976.18,5.28,99.15,11.0,53.35,67.62,14.3,7.42,0.82,8.8,1,0,0,0
88.0,68.75,28.08,976.8,18.1,98.25,11.1,38.48,51.75,13.3,6.17,0.67,19.5,1,0,0,0
54.0,32.5,28.38,977.32,53.92,98.6,11.07,33.85,46.23,12.32,3.38,1.18,12.93,1,0,0,0
52.0,31.25,28.65,978.05,84.15,97.65,13.0,31.15,45.75,14.62,3.33,1.27,26.33,1,0,0,0
55.0,50.0,29.33,978.45,167.85,90.18,21.8,28.78,44.25,15.47,7.95,1.4,27.65,1,0,0,0
52.0,39.0,31.08,978.62,344.65,79.35,158.95,24.75,36.95,12.2,3.95,1.15,7.85,1,0,0,0
51.75,35.25,32.15,978.55,456.08,74.0,348.08,20.27,31.77,11.5,2.88,1.05,7.82,1,0,0,0
51.25,24.25,32.88,977.92,487.32,72.1,99.35,16.1,27.38,11.35,2.97,1.0,9.65,1,0,0,0
51.5,26.25,30.67,977.23,442.85,87.75,185.82,13.22,27.33,14.15,2.83,1.12,8.52,1,0,0,0
49.5,31.5,32.3,976.53,346.15,80.67,242.05,12.43,26.6,14.2,3.12,1.15,9.43,1,0,0,0
50.0,33.0,31.45,976.12,131.22,77.85,42.63,12.25,29.08,16.82,3.28,1.08,9.45,1,0,0,0
56.0,24.0,32.67,975.88,286.9,72.08,28.9,11.12,23.17,12.1,2.7,1.07,10.15,1,0,0,0
69.5,24.5,30.75,975.88,64.52,80.62,98.3,10.6,23.93,13.35,2.68,1.2,8.45,1,0,0,0
77.75,32.25,29.7,976.23,27.55,87.7,259.68,15.07,32.27,17.27,3.1,1.4,6.53,1,0,0,0
79.25,44.0,29.15,976.7,5.4,92.1,254.17,17.6,34.12,16.6,3.1,1.77,3.48,1,0,0,0
80.75,51.75,29.2,977.47,4.77,91.82,102.62,21.52,40.65,19.1,3.23,1.95,3.6,1,0,0,0
87.75,53.75,29.38,978.15,4.72,91.0,94.0,19.35,36.23,16.88,2.97,1.7,4.22,1,0,0,0
72.75,43.5,29.1,978.22,4.8,92.6,30.2,21.0,40.5,19.45,2.8,1.52,4.15,1,0,0,0
70.25,42.75,28.88,977.98,4.77,93.42,27.73,26.2,46.12,19.95,2.65,1.45,7.85,1,0,0,0
82.25,47.0,28.82,977.88,4.75,93.83,22.65,26.75,45.95,19.15,2.7,1.43,5.7,1,0,0,0
75.75,49.5,28.7,977.88,4.8,94.08,22.18,24.92,42.7,17.77,2.07,1.2,6.7,1,0,0,0
59.75,37.75,28.55,977.55,4.77,93.75,22.07,24.9,40.5,15.6,1.5,1.3,4.53,1,0,0,0
49.5,33.0,28.3,977.4,4.73,93.78,47.45,23.4,37.43,13.68,2.0,1.15,2.48,1,0,0,0
50.5,29.75,28.0,977.7,4.75,95.42,19.0,23.32,38.38,15.0,2.42,1.12,3.12,1,0,0,0
57.75,28.0,27.7,978.28,6.65,96.95,20.5,24.0,39.2,15.0,2.45,1.18,3.25,1,0,0,0
58.5,26.5,27.82,978.62,37.32,96.6,180.85,23.65,36.67,13.07,2.33,1.23,3.43,1,0,0,0
66.0,33.75,29.42,978.88,186.57,88.9,17.75,22.4,35.23,12.77,2.2,1.7,6.0,1,0,0,0
74.25,42.5,30.45,978.97,276.07,82.95,41.75,20.5,33.55,13.07,2.17,1.65,7.17,1,0,0,0
73.25,43.25,31.65,978.78,350.48,75.78,42.95,17.5,32.15,14.65,2.6,1.65,6.98,1,0,0,0
73.75,38.0,33.1,979.17,554.3,68.02,42.32,14.53,28.15,13.57,3.45,1.5,8.3,1,0,0,0
62.0,25.75,34.0,979.12,680.67,62.55,42.33,12.35,26.08,13.75,2.55,1.48,8.22,1,0,0,0
56.75,14.75,34.4,978.52,707.08,59.67,39.6,9.62,21.9,12.28,2.63,1.43,9.7,1,0,0,0
57.0,11.25,34.12,978.1,536.4,60.15,32.9,8.38,21.47,13.05,2.9,1.3,10.0,1,0,0,0
50.25,11.75,33.67,977.62,484.77,62.95,47.27,10.82,22.48,11.68,3.47,1.3,11.35,1,0,0,0
47.5,11.25,34.5,976.62,484.53,60.75,62.23,9.72,20.78,11.08,3.78,1.35,17.07,1,0,0,0
45.75,12.5,33.88,976.45,309.2,61.83,39.08,8.75,17.93,9.2,4.3,1.35,13.73,1,0,0,0
47.75,13.75,32.7,976.42,74.03,64.2,59.57,9.03,17.55,8.57,3.42,1.32,9.5,1,0,0,0
58.0,13.0,32.08,976.65,33.27,67.17,70.97,8.75,20.12,11.43,8.43,1.5,37.62,1,0,0,0
65.0,22.0,30.97,977.23,5.25,74.88,86.05,11.23,26.93,15.75,6.25,1.65,15.55,1,0,0,0
71.75,23.5,30.52,978.12,4.72,75.62,67.05,14.88,31.55,16.75,7.25,1.67,35.45,1,0,0,0
84.5,27.0,30.45,978.6,4.7,75.18,39.5,14.7,30.98,16.3,15.05,1.6,8.78,1,0,0,0
87.0,26.25,30.2,978.83,4.72,76.55,33.93,14.68,29.58,14.9,31.3,1.48,6.48,1,0,0,0
90.0,32.5,29.8,978.98,4.75,81.55,33.12,18.35,36.4,18.05,7.3,1.52,7.22,1,0,0,0
107.0,32.25,29.4,979.02,4.78,85.42,27.8,18.8,35.52,16.7,3.73,1.5,6.5,1,0,0,0
77.5,40.25,28.62,978.85,4.77,90.75,16.17,18.8,32.95,14.18,2.8,1.48,6.1,1,0,0,0
74.5,48.0,28.5,978.62,4.78,90.3,31.38,22.5,36.3,13.9,2.4,1.4,4.65,1,0,0,0
63.0,30.75,28.25,978.75,4.77,91.85,28.95,20.43,32.88,12.47,2.43,1.3,3.07,1,0,0,0
68.75,25.25,28.0,978.7,4.75,93.17,42.08,20.1,33.47,13.4,2.47,1.3,2.83,1,0,0,0
64.75,27.5,27.62,978.88,6.62,90.72,68.05,20.5,33.05,12.6,3.45,1.28,26.12,1,0,0,0
50.0,20.0,28.0,979.03,68.55,83.78,64.43,19.9,31.45,11.55,6.57,1.27,33.2,1,0,0,0
42.0,13.75,29.52,979.38,224.65,76.97,57.95,19.53,31.07,11.47,9.13,1.23,31.07,1,0,0,0
59.0,22.0,30.85,979.8,400.28,70.88,53.1,17.73,29.52,11.85,6.4,1.25,9.8,1,0,0,0
49.0,20.5,31.85,980.28,556.17,67.4,53.4,16.18,27.85,11.7,4.55,1.25,8.22,1,0,0,0
55.0,16.0,32.15,980.4,481.77,66.2,47.92,13.5,26.13,12.6,3.73,1.2,9.43,1,0,0,0
62.0,24.0,32.45,980.33,460.72,65.65,36.45,12.83,25.57,12.72,3.75,1.3,9.32,1,0,0,0
68.75,20.5,33.88,979.8,691.05,61.03,52.15,10.42,23.5,13.1,4.23,1.4,13.43,1,0,0,0
57.5,15.25,34.23,979.08,634.2,58.65,70.92,8.6,17.53,8.97,6.2,1.07,12.6,1,0,0,0
51.0,14.0,34.05,978.23,420.35,59.65,43.85,8.18,14.68,6.45,5.03,1.05,17.9,1,0,0,0
45.75,17.25,34.65,977.73,514.6,57.0,84.75,8.38,16.25,7.9,5.05,1.1,18.18,1,0,0,0
48.0,20.25,34.38,977.35,343.45,57.5,91.85,9.18,17.35,8.22,4.98,1.0,18.93,1,0,0,0
51.5,27.75,33.1,977.12,92.55,61.7,69.05,9.28,19.95,10.72,5.45,1.1,21.55,1,0,0,0
61.25,29.25,31.65,977.4,22.47,67.47,118.22,9.05,20.85,11.85,4.43,1.17,16.3,1,0,0,0
70.5,32.25,31.5,978.03,5.3,67.9,41.92,11.33,29.15,17.85,12.3,1.62,35.85,1,0,0,0
108.0,47.5,30.73,978.5,4.75,73.12,41.5,15.05,35.48,20.4,11.0,1.9,38.48,1,0,0,0
115.25,47.0,29.38,979.15,4.77,82.4,60.55,15.48,35.83,20.38,10.95,1.9,15.02,1,0,0,0
110.0,50.0,30.08,979.1,4.72,78.47,49.93,21.05,54.7,24.72,5.33,2.03,6.5,1,0,0,0
248.0,57.0,29.93,979.35,4.72,80.28,49.85,33.12,56.52,23.38,5.12,1.85,5.93,1,0,0,0
172.0,51.0,28.57,979.2,4.75,88.38,69.08,31.1,52.6,21.5,7.7,1.73,6.47,1,0,0,0
121.0,67.0,29.07,978.88,4.72,85.95,18.48,34.75,55.02,20.38,10.5,1.4,5.9,1,0,0,0
143.0,74.0,28.93,978.68,4.75,87.95,17.75,27.8,43.1,15.3,3.6,1.3,4.45,1,0,0,0
110.0,74.0,28.43,978.52,4.77,92.08,20.4,28.03,41.25,13.25,3.4,1.25,3.05,1,0,0,0
79.0,64.0,28.48,978.65,4.78,92.67,36.0,30.25,45.48,15.22,4.83,1.3,6.88,1,0,0,0
103.0,55.0,28.5,978.83,6.3,92.0,84.93,30.2,45.92,15.68,8.45,1.3,30.35,1,0,0,0
103.0,68.0,28.98,979.15,50.75,90.25,84.55,26.75,42.08,15.35,8.43,1.37,56.85,1,0,0,0
125.0,69.0,30.48,979.65,178.18,81.8,64.25,23.03,35.6,12.47,7.1,1.27,10.9,1,0,0,0
78.0,42.5,31.3,980.0,293.45,77.08,94.73,20.95,33.8,12.93,5.25,1.18,18.0,1,0,0,0
70.0,35.0,32.33,980.07,381.58,70.88,64.28,19.7,32.4,12.75,6.07,1.12,26.17,1,0,0,0
84.0,45.0,32.4,980.23,336.65,68.12,63.95,17.28,31.55,14.32,7.7,1.17,18.15,1,0,0,0
105.0,45.0,32.15,980.17,326.95,68.0,26.48,15.48,29.48,14.0,4.95,1.1,10.33,1,0,0,0
92.0,29.0,30.98,979.85,535.38,75.62,172.6,13.1,26.95,13.93,3.03,1.17,7.35,1,0,0,0
70.0,19.0,33.62,979.3,678.45,65.62,89.68,9.98,22.23,12.2,2.85,1.42,10.72,1,0,0,0
57.0,27.0,34.62,978.4,568.98,57.73,44.17,10.1,21.72,11.62,2.9,1.3,12.62,1,0,0,0
53.0,22.0,35.25,977.6,561.45,54.98,239.28,10.02,22.8,12.82,3.0,1.35,13.52,1,0,0,0
59.0,19.0,35.2,976.95,401.35,53.05,347.45,9.95,22.65,12.75,2.55,1.35,14.85,1,0,0,0
44.0,25.25,34.25,976.65,209.97,60.1,346.5,9.75,23.35,13.65,2.47,1.33,14.65,1,0,0,0
57.0,29.0,32.67,976.85,42.48,62.92,260.77,11.7,27.55,15.88,2.87,1.53,12.1,1,0,0,0
63.0,38.75,31.75,977.33,5.55,67.38,336.2,12.5,30.62,18.2,2.9,1.77,8.95,1,0,0,0
85.0,47.0,30.92,978.1,4.75,76.12,338.3,14.55,31.38,16.88,3.3,1.78,6.2,1,0,0,0
94.0,55.75,30.27,978.75,4.78,77.47,169.68,13.77,31.3,17.6,3.77,1.65,6.45,1,0,0,0
88.0,57.0,29.83,978.98,4.72,81.35,83.8,14.0,34.08,20.08,3.15,1.63,5.78,1,0,0,0
94.0,63.0,29.35,979.02,4.78,84.43,175.28,18.38,43.12,24.85,3.52,1.62,4.65,1,0,0,0
111.0,84.0,29.2,979.15,4.75,86.28,10.95,16.77,35.05,18.3,3.17,1.53,7.07,1,0,0,0
74.0,45.0,28.88,978.95,4.8,89.9,95.1,16.65,34.02,17.38,2.6,1.33,6.8,1,0,0,0
100.0,55.0,28.62,978.23,4.72,92.2,28.45,21.9,36.7,14.7,2.4,1.4,5.85,1,0,0,0
105.0,59.0,28.18,977.73,4.78,94.7,72.17,23.17,38.82,15.62,3.92,1.45,4.47,1,0,0,0
119.0,59.0,28.32,977.75,4.8,94.6,29.45,30.72,47.1,16.4,6.45,1.5,3.33,1,0,0,0
134.0,77.0,28.22,978.33,6.65,95.58,13.38,28.55,44.62,16.02,3.88,1.58,3.12,1,0,0,0
128.0,77.0,28.75,978.85,56.3,93.62,172.85,27.5,42.73,15.22,3.13,1.6,3.2,1,0,0,0
133.0,77.0,29.52,979.62,89.85,90.57,26.02,27.15,42.02,14.88,3.27,1.73,4.03,1,0,0,0
141.0,81.0,30.55,980.12,149.68,86.57,33.45,24.85,43.5,18.65,12.68,1.88,10.75,1,0,0,0
171.0,81.0,32.77,980.52,397.43,73.35,62.12,22.85,40.95,18.1,18.65,1.88,37.9,1,0,0,0
