PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
150.0,91.0,32.1,979.47,14.47,98.17,100.32,64.1,87.05,22.95,4.33,1.98,11.17,1,0,0,0
150.0,91.0,32.02,979.2,14.48,98.87,118.18,71.68,95.22,23.55,4.73,1.68,10.7,1,0,0,0
150.0,91.0,32.08,979.1,14.72,98.92,321.08,69.12,92.05,22.95,4.1,1.3,61.6,1,0,0,0
150.0,99.0,32.02,978.78,14.65,97.7,304.02,58.43,86.43,28.0,3.8,0.82,34.48,1,0,0,0
150.0,89.0,31.8,978.6,14.5,98.6,261.6,58.1,80.28,22.17,3.6,0.53,11.85,1,0,0,0
150.0,51.0,29.62,978.05,11.1,98.6,125.25,23.82,38.23,14.4,3.1,0.3,8.8,1,0,0,0
56.0,27.0,27.35,979.15,11.67,98.6,232.4,8.38,20.9,12.53,2.92,0.3,6.45,1,0,0,0
14.0,9.0,27.37,979.45,12.98,98.6,124.0,8.27,20.38,12.1,2.6,0.0,6.75,1,0,0,0
14.0,9.0,27.53,979.2,17.7,98.6,46.9,11.57,31.18,19.65,3.0,0.15,6.48,1,0,0,0
14.0,9.0,28.0,978.8,63.25,98.6,107.17,16.7,37.4,20.7,3.28,0.33,6.97,1,0,0,0
46.0,35.0,29.45,978.83,190.65,98.6,124.22,12.88,33.12,20.27,3.6,0.32,6.97,1,0,0,0
46.0,35.0,32.93,979.65,450.18,78.27,233.38,16.45,45.85,29.4,3.7,0.67,6.97,1,0,0,0
81.0,68.0,34.9,979.3,425.73,3.45,299.62,6.08,33.48,27.45,3.65,0.47,6.97,1,0,0,0
92.0,64.0,33.72,978.77,282.6,3.4,334.12,5.55,28.02,22.48,3.4,0.35,6.97,1,0,0,0
81.0,61.0,34.92,978.05,347.28,3.4,334.6,5.93,26.57,20.68,2.92,0.3,6.97,1,0,0,0
73.0,41.0,33.6,977.48,234.92,3.38,341.5,5.58,25.63,20.07,3.18,0.18,6.97,1,0,0,0
73.0,39.0,34.05,977.03,167.48,3.38,347.88,6.28,26.7,20.4,3.0,0.2,6.97,1,0,0,0
68.0,28.0,33.92,976.7,110.35,3.38,31.62,5.92,24.12,18.2,2.8,0.18,6.97,1,0,0,0
58.0,22.0,33.17,977.25,40.23,7.25,22.6,4.1,32.1,28.0,2.97,0.47,6.97,1,0,0,0
105.0,48.0,32.12,977.95,15.32,92.3,38.62,6.97,40.8,33.83,3.37,0.75,6.97,1,0,0,0
127.0,70.0,32.02,978.4,14.55,95.33,73.33,20.03,56.9,36.9,3.65,1.08,6.97,1,0,0,0
